"Stock_Item_Key","WWI_Stock_Item_ID","Stock_Item","Color","Selling_Package","Buying_Package","Brand","Size","Lead_Time_Days","Quantity_Per_Outer","Is_Chiller_Stock","Barcode","Tax_Rate","Unit_Price","Recommended_Retail_Price","Typical_Weight_Per_Unit","Photo","Valid_From","Valid_To","Lineage_Key"
"447","222","チョコレート カブトムシ 250g","N/A","Bag","Carton","N/A","250g","3","24","True","8792838293820","3.000","8.55","12.23","0.250","","2025-05-31 23:00:00.0000000","9999-12-31 23:59:59.9999990","5"
"448","223","チョコレート ハリモグラ 250g","N/A","Bag","Carton","N/A","250g","3","24","True","8792838293728","3.000","8.55","12.23","0.250","","2025-05-31 23:00:00.0000000","9999-12-31 23:59:59.9999990","5"
"449","224","チョコレート カエル 250g","N/A","Bag","Carton","N/A","250g","3","24","True","8792838293987","3.000","8.55","12.23","0.250","","2025-05-31 23:00:00.0000000","9999-12-31 23:59:59.9999990","5"
"450","225","チョコレート サメs 250g","N/A","Bag","Carton","N/A","250g","3","24","True","8792838293234","3.000","8.55","12.23","0.250","","2025-05-31 23:00:00.0000000","9999-12-31 23:59:59.9999990","5"
"451","226","白 チョコレート スノーボール 250g","N/A","Bag","Carton","N/A","250g","3","24","True","8792838293236","3.000","8.55","12.23","0.250","","2025-05-31 23:00:00.0000000","9999-12-31 23:59:59.9999990","5"
"452","227","白 チョコレート ムーンロック 250g","N/A","Bag","Carton","N/A","250g","3","24","True","8792838293289","3.000","8.55","12.23","0.250","","2025-05-31 23:00:00.0000000","9999-12-31 23:59:59.9999990","5"
"28","192","黒オレンジ 取扱注意 配送用 テープ 48mmx100m","N/A","Each","Each","N/A","48mmx100m","14","36","False","N/A","14.000","4.10","6.13","0.700","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"29","191","黒オレンジ 取扱注意 配送用 テープ 48mmx75m","N/A","Each","Each","N/A","48mmx75m","14","36","False","N/A","14.000","3.70","5.53","0.500","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"30","190","透明 梱包用 テープ 48mmx100m","N/A","Each","Each","N/A","48mmx100m","14","20","False","N/A","14.000","3.50","5.23","0.700","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"31","189","透明 梱包用 テープ 48mmx75m","N/A","Each","Each","N/A","48mmx75m","14","26","False","N/A","14.000","2.90","4.34","0.500","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"320","192","黒オレンジ 取扱注意 配送用 テープ 48mmx100m","N/A","Each","Each","N/A","48mmx100m","14","36","False","N/A","14.000","4.10","6.13","0.700","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"321","191","黒オレンジ 取扱注意 配送用 テープ 48mmx75m","N/A","Each","Each","N/A","48mmx75m","14","36","False","N/A","14.000","3.70","5.53","0.500","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"322","190","透明 梱包用 テープ 48mmx100m","N/A","Each","Each","N/A","48mmx100m","14","20","False","N/A","14.000","3.50","5.23","0.700","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"323","189","透明 梱包用 テープ 48mmx75m","N/A","Each","Each","N/A","48mmx75m","14","26","False","N/A","14.000","2.90","4.34","0.500","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"641","189","透明 梱包用 テープ 48mmx75m","N/A","Each","Each","N/A","48mmx75m","14","26","False","N/A","14.000","2.90","4.34","0.500","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"642","190","透明 梱包用 テープ 48mmx100m","N/A","Each","Each","N/A","48mmx100m","14","20","False","N/A","14.000","3.50","5.23","0.700","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"643","191","黒オレンジ 取扱注意 配送用 テープ 48mmx75m","N/A","Each","Each","N/A","48mmx75m","14","36","False","N/A","14.000","3.70","5.53","0.500","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"644","192","黒オレンジ 取扱注意 配送用 テープ 48mmx100m","N/A","Each","Each","N/A","48mmx100m","14","36","False","N/A","14.000","4.10","6.13","0.700","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"18","202","赤白 至急  重量物 配送用 テープ  48mmx100m","N/A","Each","Each","N/A","48mmx100m","14","24","False","N/A","14.000","4.10","6.13","0.700","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"19","201","赤白 至急 配送用 テープ 48mmx75m","N/A","Each","Each","N/A","48mmx75m","14","24","False","N/A","14.000","3.70","5.53","0.500","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"20","200","黒黄色 重量物 配送用 テープ 48mmx100m","N/A","Each","Each","N/A","48mmx100m","14","24","False","N/A","14.000","4.10","6.13","0.700","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"21","199","黒黄色 重量物 配送用 テープ  48mmx75m","N/A","Each","Each","N/A","48mmx75m","14","24","False","N/A","14.000","3.70","5.53","0.500","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"22","198","黒オレンジ 天地無用 配送用 テープ  48mmx100m","N/A","Each","Each","N/A","48mmx100m","14","24","False","N/A","14.000","4.10","6.13","0.700","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"23","197","黒オレンジ 天地無用 配送用 テープ 48mmx75m","N/A","Each","Each","N/A","48mmx75m","14","24","False","N/A","14.000","3.70","5.53","0.500","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"24","196","黒オレンジ 取扱注意 配送用 テープ  48mmx100m","N/A","Each","Each","N/A","48mmx100m","14","24","False","N/A","14.000","4.10","6.13","0.700","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"25","195","黒オレンジ 取扱注意 配送用 テープ  48mmx75m","N/A","Each","Each","N/A","48mmx75m","14","24","False","N/A","14.000","3.70","5.53","0.500","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"26","194","黒オレンジ ガラス注意 配送用 テープ  48mmx100m","N/A","Each","Each","N/A","48mmx100m","14","24","False","N/A","14.000","4.10","6.13","0.700","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"27","193","黒オレンジ ガラス注意 配送用 テープ 48mmx75m","N/A","Each","Each","N/A","48mmx75m","14","24","False","N/A","14.000","3.70","5.53","0.500","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"310","202","赤白 至急  重量物 配送用 テープ  48mmx100m","N/A","Each","Each","N/A","48mmx100m","14","24","False","N/A","14.000","4.10","6.13","0.700","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"311","201","赤白 至急 配送用 テープ 48mmx75m","N/A","Each","Each","N/A","48mmx75m","14","24","False","N/A","14.000","3.70","5.53","0.500","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"312","200","黒黄色 重量物 配送用 テープ 48mmx100m","N/A","Each","Each","N/A","48mmx100m","14","24","False","N/A","14.000","4.10","6.13","0.700","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"313","199","黒黄色 重量物 配送用 テープ  48mmx75m","N/A","Each","Each","N/A","48mmx75m","14","24","False","N/A","14.000","3.70","5.53","0.500","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"314","198","黒オレンジ 天地無用 配送用 テープ  48mmx100m","N/A","Each","Each","N/A","48mmx100m","14","24","False","N/A","14.000","4.10","6.13","0.700","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"315","197","黒オレンジ 天地無用 配送用 テープ 48mmx75m","N/A","Each","Each","N/A","48mmx75m","14","24","False","N/A","14.000","3.70","5.53","0.500","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"316","196","黒オレンジ 取扱注意 配送用 テープ  48mmx100m","N/A","Each","Each","N/A","48mmx100m","14","24","False","N/A","14.000","4.10","6.13","0.700","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"317","195","黒オレンジ 取扱注意 配送用 テープ  48mmx75m","N/A","Each","Each","N/A","48mmx75m","14","24","False","N/A","14.000","3.70","5.53","0.500","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"318","194","黒オレンジ ガラス注意 配送用 テープ  48mmx100m","N/A","Each","Each","N/A","48mmx100m","14","24","False","N/A","14.000","4.10","6.13","0.700","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"319","193","黒オレンジ ガラス注意 配送用 テープ 48mmx75m","N/A","Each","Each","N/A","48mmx75m","14","24","False","N/A","14.000","3.70","5.53","0.500","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"645","193","黒オレンジ ガラス注意 配送用 テープ 48mmx75m","N/A","Each","Each","N/A","48mmx75m","14","24","False","N/A","14.000","3.70","5.53","0.500","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"646","194","黒オレンジ ガラス注意 配送用 テープ  48mmx100m","N/A","Each","Each","N/A","48mmx100m","14","24","False","N/A","14.000","4.10","6.13","0.700","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"647","195","黒オレンジ 取扱注意 配送用 テープ  48mmx75m","N/A","Each","Each","N/A","48mmx75m","14","24","False","N/A","14.000","3.70","5.53","0.500","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"648","196","黒オレンジ 取扱注意 配送用 テープ  48mmx100m","N/A","Each","Each","N/A","48mmx100m","14","24","False","N/A","14.000","4.10","6.13","0.700","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"649","197","黒オレンジ 天地無用 配送用 テープ 48mmx75m","N/A","Each","Each","N/A","48mmx75m","14","24","False","N/A","14.000","3.70","5.53","0.500","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"650","198","黒オレンジ 天地無用 配送用 テープ  48mmx100m","N/A","Each","Each","N/A","48mmx100m","14","24","False","N/A","14.000","4.10","6.13","0.700","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"651","199","黒黄色 重量物 配送用 テープ  48mmx75m","N/A","Each","Each","N/A","48mmx75m","14","24","False","N/A","14.000","3.70","5.53","0.500","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"652","200","黒黄色 重量物 配送用 テープ 48mmx100m","N/A","Each","Each","N/A","48mmx100m","14","24","False","N/A","14.000","4.10","6.13","0.700","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"653","201","赤白 至急 配送用 テープ 48mmx75m","N/A","Each","Each","N/A","48mmx75m","14","24","False","N/A","14.000","3.70","5.53","0.500","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"654","202","赤白 至急  重量物 配送用 テープ  48mmx100m","N/A","Each","Each","N/A","48mmx100m","14","24","False","N/A","14.000","4.10","6.13","0.700","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"32","188","3 kg 宅配便 バッグ (白) 300x190x95mm","N/A","Each","Each","N/A","300x190x95mm","14","25","False","N/A","14.000","0.66","0.99","0.100","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"324","188","3 kg 宅配便 バッグ (白) 300x190x95mm","N/A","Each","Each","N/A","300x190x95mm","14","25","False","N/A","14.000","0.66","0.99","0.100","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"640","188","3 kg 宅配便 バッグ (白) 300x190x95mm","N/A","Each","Each","N/A","300x190x95mm","14","25","False","N/A","14.000","0.66","0.99","0.100","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"56","164","32 mm 両面気泡緩衝材 50m","N/A","Each","Each","N/A","50m","14","10","False","N/A","14.000","112.00","167.44","10.000","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"57","163","32 mm 両面気泡緩衝材 20m","N/A","Each","Each","N/A","20m","14","10","False","N/A","14.000","37.00","55.32","6.000","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"58","162","32 mm 両面気泡緩衝材 10m","N/A","Each","Each","N/A","10m","14","10","False","N/A","14.000","22.00","32.89","5.000","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"59","161","20 mm 両面気泡緩衝材 50m","N/A","Each","Each","N/A","50m","14","10","False","N/A","14.000","108.00","161.46","10.000","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"60","160","20 mm 両面気泡緩衝材 20m","N/A","Each","Each","N/A","20m","14","10","False","N/A","14.000","33.00","49.34","6.000","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"61","159","20 mm 両面気泡緩衝材 10m","N/A","Each","Each","N/A","10m","14","10","False","N/A","14.000","18.00","26.91","5.000","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"62","158","10 mm 両面気泡緩衝材 50m","N/A","Each","Each","N/A","50m","14","10","False","N/A","14.000","105.00","156.98","10.000","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"63","157","10 mm 両面気泡緩衝材 20m","N/A","Each","Each","N/A","20m","14","10","False","N/A","14.000","30.00","44.85","6.000","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"64","156","10 mm 両面気泡緩衝材 10m","N/A","Each","Each","N/A","10m","14","10","False","N/A","14.000","15.00","22.43","5.000","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"348","164","32 mm 両面気泡緩衝材 50m","N/A","Each","Each","N/A","50m","14","10","False","N/A","14.000","112.00","167.44","10.000","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"349","163","32 mm 両面気泡緩衝材 20m","N/A","Each","Each","N/A","20m","14","10","False","N/A","14.000","37.00","55.32","6.000","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"350","162","32 mm 両面気泡緩衝材 10m","N/A","Each","Each","N/A","10m","14","10","False","N/A","14.000","22.00","32.89","5.000","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"351","161","20 mm 両面気泡緩衝材 50m","N/A","Each","Each","N/A","50m","14","10","False","N/A","14.000","108.00","161.46","10.000","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"352","160","20 mm 両面気泡緩衝材 20m","N/A","Each","Each","N/A","20m","14","10","False","N/A","14.000","33.00","49.34","6.000","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"353","159","20 mm 両面気泡緩衝材 10m","N/A","Each","Each","N/A","10m","14","10","False","N/A","14.000","18.00","26.91","5.000","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"354","158","10 mm 両面気泡緩衝材 50m","N/A","Each","Each","N/A","50m","14","10","False","N/A","14.000","105.00","156.98","10.000","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"355","157","10 mm 両面気泡緩衝材 20m","N/A","Each","Each","N/A","20m","14","10","False","N/A","14.000","30.00","44.85","6.000","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"356","156","10 mm 両面気泡緩衝材 10m","N/A","Each","Each","N/A","10m","14","10","False","N/A","14.000","15.00","22.43","5.000","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"608","156","10 mm 両面気泡緩衝材 10m","N/A","Each","Each","N/A","10m","14","10","False","N/A","14.000","15.00","22.43","5.000","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"609","157","10 mm 両面気泡緩衝材 20m","N/A","Each","Each","N/A","20m","14","10","False","N/A","14.000","30.00","44.85","6.000","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"610","158","10 mm 両面気泡緩衝材 50m","N/A","Each","Each","N/A","50m","14","10","False","N/A","14.000","105.00","156.98","10.000","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"611","159","20 mm 両面気泡緩衝材 10m","N/A","Each","Each","N/A","10m","14","10","False","N/A","14.000","18.00","26.91","5.000","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"612","160","20 mm 両面気泡緩衝材 20m","N/A","Each","Each","N/A","20m","14","10","False","N/A","14.000","33.00","49.34","6.000","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"613","161","20 mm 両面気泡緩衝材 50m","N/A","Each","Each","N/A","50m","14","10","False","N/A","14.000","108.00","161.46","10.000","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"614","162","32 mm 両面気泡緩衝材 10m","N/A","Each","Each","N/A","10m","14","10","False","N/A","14.000","22.00","32.89","5.000","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"615","163","32 mm 両面気泡緩衝材 20m","N/A","Each","Each","N/A","20m","14","10","False","N/A","14.000","37.00","55.32","6.000","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"616","164","32 mm 両面気泡緩衝材 50m","N/A","Each","Each","N/A","50m","14","10","False","N/A","14.000","112.00","167.44","10.000","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"1","219","緩衝材 400 L バッグ (白) 400L","N/A","Each","Each","N/A","400L","14","10","False","N/A","14.000","50.00","74.75","1.000","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"2","218","緩衝材 300 L バッグ (白) 300L","N/A","Each","Each","N/A","300L","14","10","False","N/A","14.000","37.50","56.06","0.750","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"3","217","緩衝材 200 L バッグ (白) 200L","N/A","Each","Each","N/A","200L","14","10","False","N/A","14.000","25.00","37.38","0.500","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"4","216","緩衝材 100 L バッグ (白) 100L","N/A","Each","Each","N/A","100L","14","10","False","N/A","14.000","12.50","18.69","0.250","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"8","212","大  交換用刃 18mm","N/A","Each","Each","N/A","18mm","14","10","False","N/A","14.000","4.30","6.43","0.800","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"9","211","小 9mm 交換用刃 9mm","N/A","Each","Each","N/A","9mm","14","10","False","N/A","14.000","4.10","6.13","0.700","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"15","205","テープ ディスペンサー (青)","N/A","Each","Each","N/A","N/A","20","10","False","N/A","20.000","32.00","47.84","1.000","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"16","204","テープ ディスペンサー (赤)","N/A","Each","Each","N/A","N/A","20","10","False","N/A","20.000","32.00","47.84","1.000","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"17","203","テープ ディスペンサー (黒)","N/A","Each","Each","N/A","N/A","20","10","False","N/A","20.000","32.00","47.84","1.000","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"66","154","中サイズ エアクッション ロール 20m","N/A","Each","Each","N/A","20m","14","10","False","N/A","14.000","20.00","29.90","6.000","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"293","219","緩衝材 400 L バッグ (白) 400L","N/A","Each","Each","N/A","400L","14","10","False","N/A","14.000","50.00","74.75","1.000","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"294","218","緩衝材 300 L バッグ (白) 300L","N/A","Each","Each","N/A","300L","14","10","False","N/A","14.000","37.50","56.06","0.750","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"295","217","緩衝材 200 L バッグ (白) 200L","N/A","Each","Each","N/A","200L","14","10","False","N/A","14.000","25.00","37.38","0.500","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"296","216","緩衝材 100 L バッグ (白) 100L","N/A","Each","Each","N/A","100L","14","10","False","N/A","14.000","12.50","18.69","0.250","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"300","212","大  交換用刃 18mm","N/A","Each","Each","N/A","18mm","14","10","False","N/A","14.000","4.30","6.43","0.800","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"301","211","小 9mm 交換用刃 9mm","N/A","Each","Each","N/A","9mm","14","10","False","N/A","14.000","4.10","6.13","0.700","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"307","205","テープ ディスペンサー (青)","N/A","Each","Each","N/A","N/A","20","10","False","N/A","20.000","32.00","47.84","1.000","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"308","204","テープ ディスペンサー (赤)","N/A","Each","Each","N/A","N/A","20","10","False","N/A","20.000","32.00","47.84","1.000","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"309","203","テープ ディスペンサー (黒)","N/A","Each","Each","N/A","N/A","20","10","False","N/A","20.000","32.00","47.84","1.000","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"358","154","中サイズ エアクッション ロール 20m","N/A","Each","Each","N/A","20m","14","10","False","N/A","14.000","20.00","29.90","6.000","","2025-05-31 23:00:00.0000000","2025-05-31 23:12:00.0000000","5"
"606","154","中サイズ エアクッション ロール 20m","N/A","Each","Each","N/A","20m","14","10","False","N/A","14.000","20.00","29.90","6.000","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"655","203","テープ ディスペンサー (黒)","N/A","Each","Each","N/A","N/A","20","10","False","N/A","20.000","32.00","47.84","1.000","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"656","204","テープ ディスペンサー (赤)","N/A","Each","Each","N/A","N/A","20","10","False","N/A","20.000","32.00","47.84","1.000","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"657","205","テープ ディスペンサー (青)","N/A","Each","Each","N/A","N/A","20","10","False","N/A","20.000","32.00","47.84","1.000","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"663","211","小 9mm 交換用刃 9mm","N/A","Each","Each","N/A","9mm","14","10","False","N/A","14.000","4.10","6.13","0.700","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"664","212","大  交換用刃 18mm","N/A","Each","Each","N/A","18mm","14","10","False","N/A","14.000","4.30","6.43","0.800","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"668","216","緩衝材 100 L バッグ (白) 100L","N/A","Each","Each","N/A","100L","14","10","False","N/A","14.000","12.50","18.69","0.250","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"669","217","緩衝材 200 L バッグ (白) 200L","N/A","Each","Each","N/A","200L","14","10","False","N/A","14.000","25.00","37.38","0.500","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"670","218","緩衝材 300 L バッグ (白) 300L","N/A","Each","Each","N/A","300L","14","10","False","N/A","14.000","37.50","56.06","0.750","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"671","219","緩衝材 400 L バッグ (白) 400L","N/A","Each","Each","N/A","400L","14","10","False","N/A","14.000","50.00","74.75","1.000","","2025-05-31 23:12:00.0000000","9999-12-31 23:59:59.9999990","5"
"47","173","32 mm 静電気防止気泡緩衝材 (青) 50m","青","Each","Each","N/A","50m","14","10","False","N/A","14.000","105.00","156.98","10.000","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"48","172","32 mm 静電気防止気泡緩衝材 (青) 20m","青","Each","Each","N/A","20m","14","10","False","N/A","14.000","48.00","71.76","6.000","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"49","171","32 mm 静電気防止気泡緩衝材 (青) 10m","青","Each","Each","N/A","10m","14","10","False","N/A","14.000","32.00","47.84","5.000","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"50","170","20 mm 静電気防止気泡緩衝材 (青) 50m","青","Each","Each","N/A","50m","14","10","False","N/A","14.000","102.00","152.49","10.000","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"51","169","20 mm 静電気防止気泡緩衝材 (青) 20m","青","Each","Each","N/A","20m","14","10","False","N/A","14.000","45.00","67.28","6.000","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"52","168","20 mm 静電気防止気泡緩衝材 (青) 10m","青","Each","Each","N/A","10m","14","10","False","N/A","14.000","29.00","43.36","5.000","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
"53","167","10 mm 静電気防止気泡緩衝材 (青) 50m","青","Each","Each","N/A","50m","14","10","False","N/A","14.000","99.00","148.01","10.000","","2022-01-01 00:00:00.0000000","2025-05-31 23:00:00.0000000","5"
