col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i
SHP-002772,W-12,FG-0080,2026-01-11,20,20,1,1,東日本
SHP-002773,W-18,FG-0071,2024-09-17,50,50,1,1,海外
SHP-002774,W-08,FG-0047,2024-11-01,100,100,1,1,東日本
SHP-002775,W-21,FG-0044,2026-01-02,100,100,1,1,東日本
SHP-002776,W-07,FG-0025,2024-07-09,50,50,1,1,西日本
SHP-002777,W-09,FG-0008,2024-09-16,20,20,1,1,西日本
SHP-002778,W-13,FG-0017,2024-09-03,50,50,1,1,西日本
SHP-002779,W-04,FG-0065,2024-11-02,50,50,1,1,東日本
SHP-002780,W-19,FG-0060,2024-01-19,100,100,0,1,海外
SHP-002781,W-13,FG-0051,2024-12-01,10,10,1,1,海外
SHP-002782,W-02,FG-0024,2025-12-24,100,100,0,1,北日本
SHP-002783,W-04,FG-0067,2024-11-23,20,20,1,1,海外
SHP-002784,W-16,FG-0063,2024-08-01,100,100,1,1,海外
SHP-002785,W-06,FG-0011,2024-11-08,20,20,0,1,海外
SHP-002786,W-13,FG-0068,2025-04-27,100,100,1,1,西日本
SHP-002787,W-23,FG-0038,2026-02-17,20,20,1,1,西日本
SHP-002788,W-10,FG-0030,2025-12-03,20,20,0,1,西日本
SHP-002789,W-03,FG-0035,2024-07-16,20,20,1,1,西日本
SHP-002790,W-15,FG-0071,2025-10-02,20,20,1,1,海外
SHP-002791,W-19,FG-0015,2024-06-26,20,20,1,1,東日本
SHP-002792,W-07,FG-0065,2025-03-30,100,100,1,1,西日本
SHP-002793,W-24,FG-0019,2025-10-20,10,10,1,1,海外
SHP-002794,W-05,FG-0042,2025-10-13,20,20,1,1,北日本
SHP-002795,W-21,FG-0050,2025-12-11,100,100,1,1,東日本
SHP-002796,W-15,FG-0022,2024-05-04,50,50,1,1,西日本
SHP-002797,W-05,FG-0064,2024-10-28,50,50,1,1,東日本
SHP-002798,W-24,FG-0004,2025-03-06,10,10,1,1,東日本
SHP-002799,W-08,FG-0014,2025-08-25,100,100,0,1,東日本
SHP-002800,W-16,FG-0043,2026-01-27,50,50,0,1,海外
SHP-002801,W-12,FG-0019,2026-03-07,50,50,1,1,海外
SHP-002802,W-22,FG-0073,2025-04-06,50,50,1,1,北日本
SHP-002803,W-12,FG-0017,2025-10-25,50,50,1,1,東日本
SHP-002804,W-16,FG-0045,2025-08-30,20,20,1,1,東日本
SHP-002805,W-23,FG-0036,2025-01-16,50,50,1,1,西日本
SHP-002806,W-07,FG-0072,2026-02-15,10,10,1,1,西日本
SHP-002807,W-15,FG-0002,2024-09-27,10,10,1,1,東日本
SHP-002808,W-09,FG-0048,2024-03-13,20,20,1,1,海外
SHP-002809,W-13,FG-0005,2024-12-17,100,100,1,1,東日本
SHP-002810,W-04,FG-0079,2024-06-11,10,10,1,1,西日本
SHP-002811,W-10,FG-0010,2024-04-15,10,10,1,1,海外
SHP-002812,W-05,FG-0017,2026-03-14,10,10,1,1,西日本
SHP-002813,W-16,FG-0026,2024-08-30,10,10,1,1,海外
SHP-002814,W-12,FG-0042,2024-11-05,20,20,1,1,北日本
SHP-002815,W-05,FG-0008,2025-11-11,50,50,1,1,東日本
SHP-002816,W-24,FG-0080,2024-01-03,50,50,1,1,北日本
SHP-002817,W-03,FG-0032,2025-08-03,10,10,1,1,西日本
SHP-002818,W-02,FG-0018,2024-04-20,20,20,1,1,北日本
SHP-002819,W-03,FG-0007,2025-10-28,20,20,1,1,海外
SHP-002820,W-13,FG-0037,2025-11-02,10,10,0,1,海外
SHP-002821,W-10,FG-0013,2024-08-26,20,20,1,1,西日本
SHP-002822,W-04,FG-0021,2024-12-23,100,100,1,1,北日本
SHP-002823,W-02,FG-0025,2024-11-08,50,50,1,1,海外
SHP-002824,W-24,FG-0045,2024-10-03,50,50,1,1,西日本
SHP-002825,W-21,FG-0037,2024-11-02,50,50,1,1,西日本
SHP-002826,W-16,FG-0068,2026-04-04,50,50,1,1,東日本
SHP-002827,W-22,FG-0058,2025-06-12,20,20,0,1,北日本
SHP-002828,W-07,FG-0054,2026-04-18,20,20,1,1,東日本
SHP-002829,W-05,FG-0014,2025-01-18,50,37,1,0,西日本
SHP-002830,W-09,FG-0078,2024-10-18,50,50,1,1,東日本
SHP-002831,W-16,FG-0005,2026-04-10,20,20,0,1,海外
SHP-002832,W-02,FG-0051,2025-03-27,50,50,1,1,北日本
SHP-002833,W-17,FG-0035,2025-09-01,10,10,1,1,海外
SHP-002834,W-08,FG-0074,2025-12-06,100,100,1,1,北日本
SHP-002835,W-14,FG-0052,2025-12-24,20,20,1,1,北日本
SHP-002836,W-06,FG-0041,2024-11-29,20,20,1,1,北日本
SHP-002837,W-21,FG-0070,2024-01-23,10,10,1,1,海外
SHP-002838,W-13,FG-0067,2025-05-13,100,100,1,1,西日本
SHP-002839,W-08,FG-0012,2025-04-02,20,20,1,1,北日本
SHP-002840,W-23,FG-0065,2026-02-02,10,10,0,1,北日本
SHP-002841,W-03,FG-0055,2026-02-26,100,100,1,1,海外
SHP-002842,W-04,FG-0065,2025-04-22,50,50,1,1,東日本
SHP-002843,W-08,FG-0021,2025-04-07,100,100,1,1,北日本
SHP-002844,W-23,FG-0062,2024-04-18,10,10,0,1,北日本
SHP-002845,W-02,FG-0029,2025-08-30,50,50,1,1,海外
SHP-002846,W-20,FG-0067,2024-11-14,10,10,1,1,北日本
SHP-002847,W-08,FG-0003,2026-04-01,20,12,1,0,西日本
SHP-002848,W-19,FG-0070,2026-03-30,20,20,1,1,海外
SHP-002849,W-15,FG-0073,2025-06-06,100,100,1,1,西日本
SHP-002850,W-22,FG-0073,2024-03-11,100,100,1,1,東日本
SHP-002851,W-07,FG-0031,2025-07-08,20,20,1,1,西日本
SHP-002852,W-01,FG-0073,2025-12-17,50,50,1,1,海外
SHP-002853,W-06,FG-0059,2025-07-23,50,50,1,1,西日本
SHP-002854,W-21,FG-0040,2024-12-30,10,10,1,1,北日本
SHP-002855,W-24,FG-0015,2024-12-20,50,50,1,1,西日本
SHP-002856,W-04,FG-0011,2024-11-15,50,38,1,0,東日本
SHP-002857,W-13,FG-0070,2026-04-15,10,8,1,0,西日本
SHP-002858,W-01,FG-0015,2025-02-03,100,100,0,1,北日本
SHP-002859,W-23,FG-0018,2025-06-16,20,20,1,1,西日本
SHP-002860,W-19,FG-0030,2025-03-26,50,50,1,1,西日本
SHP-002861,W-18,FG-0064,2024-07-03,20,14,1,0,北日本
SHP-002862,W-07,FG-0066,2026-02-07,10,10,1,1,海外
SHP-002863,W-21,FG-0008,2025-08-20,50,50,1,1,西日本
SHP-002864,W-11,FG-0074,2025-04-14,100,100,1,1,東日本
SHP-002865,W-07,FG-0043,2024-03-24,10,10,1,1,西日本
SHP-002866,W-10,FG-0031,2025-11-09,50,50,1,1,海外
SHP-002867,W-12,FG-0035,2026-03-16,50,50,1,1,海外
SHP-002868,W-24,FG-0036,2024-01-10,10,10,1,1,海外
SHP-002869,W-10,FG-0048,2025-09-17,50,50,1,1,北日本
SHP-002870,W-04,FG-0072,2025-02-19,10,10,0,1,東日本
SHP-002871,W-08,FG-0009,2024-12-03,20,20,0,1,北日本
SHP-002872,W-15,FG-0039,2024-09-09,10,10,1,1,西日本
SHP-002873,W-22,FG-0069,2025-07-01,100,100,1,1,海外
SHP-002874,W-13,FG-0067,2026-02-07,20,17,1,0,海外
SHP-002875,W-14,FG-0017,2025-09-24,10,10,1,1,東日本
SHP-002876,W-21,FG-0032,2026-01-19,50,50,1,1,東日本
SHP-002877,W-17,FG-0038,2025-11-09,20,20,1,1,東日本
SHP-002878,W-10,FG-0032,2025-08-09,100,100,0,1,北日本
SHP-002879,W-10,FG-0057,2025-08-23,100,100,1,1,東日本
SHP-002880,W-10,FG-0079,2025-08-04,20,20,1,1,東日本
SHP-002881,W-04,FG-0046,2024-03-29,100,100,1,1,海外
SHP-002882,W-11,FG-0064,2024-11-25,50,50,1,1,西日本
SHP-002883,W-20,FG-0058,2024-12-04,10,10,1,1,東日本
SHP-002884,W-17,FG-0064,2025-12-01,100,100,1,1,北日本
SHP-002885,W-20,FG-0039,2025-02-09,10,10,1,1,西日本
SHP-002886,W-02,FG-0028,2024-11-08,20,20,1,1,東日本
SHP-002887,W-02,FG-0005,2025-03-28,100,100,1,1,西日本
SHP-002888,W-14,FG-0035,2025-01-25,20,20,1,1,西日本
SHP-002889,W-11,FG-0021,2025-11-06,100,100,1,1,西日本
SHP-002890,W-24,FG-0065,2025-01-21,10,10,1,1,北日本
SHP-002891,W-10,FG-0020,2025-07-29,20,20,1,1,北日本
SHP-002892,W-13,FG-0010,2025-12-13,50,50,1,1,海外
SHP-002893,W-06,FG-0017,2024-02-03,50,50,1,1,北日本
SHP-002894,W-16,FG-0057,2026-03-15,100,100,1,1,北日本
SHP-002895,W-06,FG-0062,2025-11-26,20,20,1,1,海外
SHP-002896,W-07,FG-0079,2025-10-17,10,10,1,1,北日本
SHP-002897,W-05,FG-0066,2026-02-21,50,50,1,1,東日本
SHP-002898,W-10,FG-0023,2024-03-25,20,20,1,1,東日本
SHP-002899,W-09,FG-0029,2025-12-15,20,20,1,1,東日本
SHP-002900,W-04,FG-0063,2024-03-17,50,50,1,1,海外
SHP-002901,W-07,FG-0002,2024-07-17,10,10,0,1,海外
SHP-002902,W-09,FG-0008,2025-02-20,50,50,1,1,西日本
SHP-002903,W-12,FG-0054,2024-06-29,100,100,1,1,西日本
SHP-002904,W-13,FG-0027,2025-08-15,10,10,1,1,北日本
SHP-002905,W-03,FG-0066,2024-07-14,10,10,1,1,海外
SHP-002906,W-03,FG-0077,2024-01-22,100,100,0,1,東日本
SHP-002907,W-06,FG-0012,2025-07-03,50,50,1,1,西日本
SHP-002908,W-23,FG-0069,2024-08-30,10,10,1,1,海外
SHP-002909,W-16,FG-0048,2024-01-31,100,100,1,1,海外
SHP-002910,W-23,FG-0072,2024-06-28,50,50,0,1,西日本
SHP-002911,W-11,FG-0033,2025-02-09,100,100,1,1,東日本
SHP-002912,W-10,FG-0039,2024-12-21,50,50,1,1,東日本
SHP-002913,W-13,FG-0056,2025-12-25,100,100,1,1,東日本
SHP-002914,W-10,FG-0068,2024-06-25,20,20,1,1,北日本
SHP-002915,W-18,FG-0013,2026-04-03,50,50,1,1,海外
SHP-002916,W-13,FG-0049,2024-11-12,20,20,1,1,北日本
SHP-002917,W-15,FG-0024,2025-07-21,100,100,1,1,西日本
SHP-002918,W-18,FG-0075,2026-04-19,100,69,0,0,西日本
SHP-002919,W-24,FG-0077,2024-06-24,10,10,1,1,北日本
SHP-002920,W-19,FG-0033,2025-04-18,10,10,1,1,東日本
SHP-002921,W-24,FG-0010,2024-05-11,10,10,0,1,北日本
SHP-002922,W-03,FG-0013,2024-09-22,20,20,1,1,西日本
SHP-002923,W-13,FG-0010,2024-09-21,50,50,1,1,東日本
SHP-002924,W-04,FG-0030,2025-10-08,20,20,1,1,海外
SHP-002925,W-21,FG-0003,2026-03-16,20,20,1,1,西日本
SHP-002926,W-06,FG-0004,2024-09-12,100,100,1,1,海外
SHP-002927,W-09,FG-0073,2026-04-24,20,20,1,1,北日本
SHP-002928,W-17,FG-0021,2024-10-18,100,100,1,1,海外
SHP-002929,W-13,FG-0022,2024-11-20,50,50,1,1,西日本
SHP-002930,W-02,FG-0043,2024-04-18,100,100,1,1,北日本
SHP-002931,W-12,FG-0061,2024-01-20,50,45,1,0,海外
SHP-002932,W-24,FG-0006,2026-01-28,50,50,1,1,北日本
SHP-002933,W-13,FG-0025,2025-11-16,50,50,1,1,東日本
SHP-002934,W-10,FG-0004,2024-07-13,50,50,1,1,西日本
SHP-002935,W-01,FG-0008,2024-03-31,50,50,1,1,西日本
SHP-002936,W-19,FG-0059,2024-06-24,20,20,1,1,海外
SHP-002937,W-23,FG-0074,2024-12-24,20,20,1,1,海外
SHP-002938,W-01,FG-0027,2026-04-09,10,10,1,1,北日本
SHP-002939,W-13,FG-0006,2024-03-02,50,50,1,1,西日本
SHP-002940,W-11,FG-0010,2024-06-24,20,20,1,1,海外
SHP-002941,W-21,FG-0015,2024-08-03,20,20,0,1,北日本
SHP-002942,W-08,FG-0005,2025-04-23,100,100,1,1,東日本
SHP-002943,W-19,FG-0043,2024-12-24,10,10,1,1,海外
SHP-002944,W-19,FG-0045,2024-10-28,50,50,1,1,北日本
SHP-002945,W-02,FG-0043,2025-03-18,10,10,1,1,海外
SHP-002946,W-21,FG-0008,2025-08-05,20,20,1,1,海外
SHP-002947,W-01,FG-0008,2024-03-22,20,20,1,1,海外
SHP-002948,W-12,FG-0030,2024-08-15,10,10,1,1,西日本
SHP-002949,W-06,FG-0046,2026-01-19,10,10,1,1,北日本
SHP-002950,W-05,FG-0044,2024-05-07,20,20,0,1,東日本
SHP-002951,W-04,FG-0024,2025-09-30,100,100,1,1,西日本
SHP-002952,W-02,FG-0077,2025-06-27,100,100,1,1,海外
SHP-002953,W-21,FG-0018,2025-11-24,20,20,1,1,東日本
SHP-002954,W-05,FG-0076,2024-01-03,10,10,1,1,西日本
SHP-002955,W-03,FG-0028,2026-01-26,100,100,1,1,東日本
SHP-002956,W-04,FG-0044,2025-09-17,20,20,1,1,西日本
SHP-002957,W-16,FG-0060,2025-05-20,10,10,1,1,海外
SHP-002958,W-10,FG-0055,2024-03-03,100,100,1,1,西日本
SHP-002959,W-08,FG-0072,2024-03-16,10,10,1,1,西日本
SHP-002960,W-19,FG-0029,2025-10-07,50,50,1,1,東日本
SHP-002961,W-19,FG-0048,2024-10-05,20,20,1,1,海外
SHP-002962,W-18,FG-0049,2024-07-12,50,50,1,1,東日本
SHP-002963,W-20,FG-0053,2024-12-06,20,20,1,1,東日本
SHP-002964,W-15,FG-0033,2025-03-29,100,100,1,1,西日本
SHP-002965,W-03,FG-0009,2025-03-19,50,50,1,1,海外
SHP-002966,W-05,FG-0047,2025-05-21,50,50,0,1,北日本
SHP-002967,W-19,FG-0011,2024-08-10,100,100,1,1,東日本
SHP-002968,W-20,FG-0025,2024-10-28,20,20,0,1,東日本
SHP-002969,W-22,FG-0021,2025-01-02,20,20,1,1,海外
SHP-002970,W-17,FG-0003,2025-10-16,20,12,1,0,海外
SHP-002971,W-18,FG-0014,2025-10-06,100,100,1,1,東日本
SHP-002972,W-15,FG-0014,2025-03-31,10,10,1,1,東日本
SHP-002973,W-11,FG-0002,2024-03-03,100,100,1,1,西日本
SHP-002974,W-04,FG-0046,2024-05-05,50,50,0,1,東日本
SHP-002975,W-12,FG-0007,2026-02-03,100,100,1,1,北日本
SHP-002976,W-14,FG-0023,2024-08-14,10,10,1,1,東日本
SHP-002977,W-06,FG-0051,2026-04-10,10,10,1,1,北日本
SHP-002978,W-06,FG-0031,2024-11-23,100,100,1,1,海外
SHP-002979,W-05,FG-0018,2025-04-14,10,10,1,1,海外
SHP-002980,W-23,FG-0002,2024-07-18,100,100,0,1,北日本
SHP-002981,W-11,FG-0079,2024-08-01,20,16,1,0,北日本
SHP-002982,W-05,FG-0027,2025-10-22,20,20,1,1,西日本
SHP-002983,W-20,FG-0008,2025-02-04,20,20,1,1,海外
SHP-002984,W-02,FG-0008,2025-04-27,50,50,1,1,東日本
SHP-002985,W-13,FG-0043,2025-04-10,100,100,0,1,海外
SHP-002986,W-15,FG-0079,2025-10-13,20,20,0,1,海外
SHP-002987,W-19,FG-0076,2025-09-08,10,10,0,1,海外
SHP-002988,W-20,FG-0001,2024-03-07,10,10,1,1,東日本
SHP-002989,W-16,FG-0012,2024-07-09,20,20,1,1,北日本
SHP-002990,W-11,FG-0032,2025-10-21,20,20,0,1,海外
SHP-002991,W-19,FG-0030,2025-10-15,10,10,1,1,西日本
SHP-002992,W-17,FG-0001,2025-11-21,10,10,0,1,西日本
SHP-002993,W-19,FG-0073,2025-01-26,100,100,1,1,北日本
SHP-002994,W-19,FG-0067,2025-04-04,20,20,1,1,西日本
SHP-002995,W-04,FG-0055,2024-05-17,10,10,1,1,海外
SHP-002996,W-09,FG-0004,2026-02-01,50,50,1,1,北日本
SHP-002997,W-01,FG-0048,2025-06-04,10,10,1,1,西日本
SHP-002998,W-05,FG-0052,2026-02-14,10,10,1,1,海外
SHP-002999,W-15,FG-0050,2025-02-28,20,20,1,1,海外
SHP-003000,W-02,FG-0030,2025-02-20,50,50,1,1,東日本
SHP-003001,W-13,FG-0037,2026-03-22,50,34,1,0,東日本
SHP-003002,W-23,FG-0060,2025-07-02,50,50,1,1,北日本
SHP-003003,W-19,FG-0075,2024-09-10,20,20,1,1,北日本
SHP-003004,W-16,FG-0036,2025-11-30,50,50,1,1,海外
SHP-003005,W-06,FG-0037,2025-10-01,50,50,1,1,東日本
SHP-003006,W-24,FG-0064,2024-01-20,50,50,1,1,東日本
SHP-003007,W-08,FG-0079,2024-11-25,50,50,1,1,北日本
SHP-003008,W-02,FG-0019,2025-02-22,50,50,1,1,北日本
SHP-003009,W-05,FG-0068,2025-07-25,100,100,1,1,海外
SHP-003010,W-11,FG-0012,2026-03-19,50,50,1,1,北日本
SHP-003011,W-19,FG-0024,2025-03-25,50,50,1,1,東日本
SHP-003012,W-11,FG-0003,2024-03-17,50,50,1,1,北日本
SHP-003013,W-23,FG-0040,2024-06-07,50,50,1,1,海外
SHP-003014,W-24,FG-0062,2024-10-06,20,20,1,1,北日本
