col_a,col_b,col_c,col_d
GR-0009437,PO-0011593,2025-02-15,50
GR-0009438,PO-0011594,2025-11-08,200
GR-0009439,PO-0011596,2026-04-29,200
GR-0009440,PO-0011597,2024-12-07,1000
GR-0009441,PO-0011598,2024-06-09,100
GR-0009442,PO-0011600,2025-08-18,50
GR-0009443,PO-0011601,2026-03-13,500
GR-0009444,PO-0011602,2025-10-25,100
GR-0009445,PO-0011603,2025-05-03,100
GR-0009446,PO-0011604,2025-01-08,200
GR-0009447,PO-0011605,2024-05-19,100
GR-0009448,PO-0011606,2024-10-28,200
GR-0009449,PO-0011607,2024-11-21,200
GR-0009450,PO-0011608,2024-11-30,50
GR-0009451,PO-0011609,2026-01-08,100
GR-0009452,PO-0011610,2024-02-21,50
GR-0009453,PO-0011611,2026-03-09,1000
GR-0009454,PO-0011613,2025-02-22,50
GR-0009455,PO-0011614,2025-06-12,200
GR-0009456,PO-0011615,2026-05-16,36
GR-0009457,PO-0011616,2024-09-16,100
GR-0009458,PO-0011617,2024-12-24,500
GR-0009459,PO-0011618,2024-09-18,77
GR-0009460,PO-0011619,2024-09-01,1000
GR-0009461,PO-0011620,2025-09-17,50
GR-0009462,PO-0011622,2025-08-24,1000
GR-0009463,PO-0011623,2024-07-10,1000
GR-0009464,PO-0011624,2025-02-14,200
GR-0009465,PO-0011625,2025-08-28,100
GR-0009466,PO-0011626,2026-05-28,500
GR-0009467,PO-0011628,2024-12-03,45
GR-0009468,PO-0011629,2025-04-22,1000
GR-0009469,PO-0011631,2024-09-26,50
GR-0009470,PO-0011633,2024-11-12,100
GR-0009471,PO-0011634,2024-06-05,500
GR-0009472,PO-0011635,2026-03-05,177
GR-0009473,PO-0011637,2024-03-21,200
GR-0009474,PO-0011638,2024-08-30,200
GR-0009475,PO-0011639,2024-08-24,1000
GR-0009476,PO-0011640,2024-06-16,1000
GR-0009477,PO-0011641,2025-07-22,100
GR-0009478,PO-0011642,2024-10-04,883
GR-0009479,PO-0011643,2024-09-18,500
GR-0009480,PO-0011644,2025-10-11,50
GR-0009481,PO-0011645,2024-04-17,100
GR-0009482,PO-0011646,2026-03-11,50
GR-0009483,PO-0011647,2025-04-01,200
GR-0009484,PO-0011648,2025-02-02,500
GR-0009485,PO-0011649,2024-07-24,1000
GR-0009486,PO-0011650,2025-05-14,500
GR-0009487,PO-0011651,2024-08-30,1000
GR-0009488,PO-0011652,2024-09-23,500
GR-0009489,PO-0011653,2025-04-04,93
GR-0009490,PO-0011654,2024-03-22,100
GR-0009491,PO-0011655,2026-02-28,100
GR-0009492,PO-0011656,2025-11-29,1000
GR-0009493,PO-0011658,2025-04-06,200
GR-0009494,PO-0011659,2024-02-15,100
GR-0009495,PO-0011660,2024-07-25,50
GR-0009496,PO-0011661,2024-11-28,1000
GR-0009497,PO-0011662,2026-03-23,100
GR-0009498,PO-0011663,2024-04-11,500
GR-0009499,PO-0011664,2024-04-03,50
GR-0009500,PO-0011665,2024-10-25,200
GR-0009501,PO-0011666,2024-01-24,500
GR-0009502,PO-0011667,2025-07-20,200
GR-0009503,PO-0011668,2025-10-28,1000
GR-0009504,PO-0011669,2026-04-01,500
GR-0009505,PO-0011670,2025-12-22,500
GR-0009506,PO-0011671,2025-11-28,500
GR-0009507,PO-0011672,2024-04-17,1000
GR-0009508,PO-0011673,2025-09-27,1000
GR-0009509,PO-0011675,2024-11-27,50
GR-0009510,PO-0011676,2026-03-30,200
GR-0009511,PO-0011678,2025-07-22,50
GR-0009512,PO-0011679,2026-02-03,200
GR-0009513,PO-0011681,2026-02-20,500
GR-0009514,PO-0011682,2024-08-02,50
GR-0009515,PO-0011685,2026-02-21,50
GR-0009516,PO-0011687,2024-09-02,500
GR-0009517,PO-0011689,2026-02-07,500
GR-0009518,PO-0011690,2026-02-15,1000
GR-0009519,PO-0011691,2025-06-10,500
GR-0009520,PO-0011692,2025-06-13,50
GR-0009521,PO-0011693,2025-04-01,500
GR-0009522,PO-0011695,2024-10-22,1000
GR-0009523,PO-0011696,2025-04-23,100
GR-0009524,PO-0011697,2025-10-16,1000
GR-0009525,PO-0011698,2024-12-01,500
GR-0009526,PO-0011699,2026-02-20,500
GR-0009527,PO-0011702,2025-05-15,200
GR-0009528,PO-0011703,2025-12-24,200
GR-0009529,PO-0011704,2025-12-01,100
GR-0009530,PO-0011707,2025-12-12,1000
GR-0009531,PO-0011708,2024-04-09,100
GR-0009532,PO-0011710,2024-11-11,200
GR-0009533,PO-0011712,2025-07-19,50
GR-0009534,PO-0011713,2025-07-09,100
GR-0009535,PO-0011714,2025-11-08,74
GR-0009536,PO-0011715,2025-03-08,500
GR-0009537,PO-0011716,2025-03-12,100
GR-0009538,PO-0011717,2024-05-14,500
GR-0009539,PO-0011720,2024-03-23,100
GR-0009540,PO-0011721,2025-01-24,100
GR-0009541,PO-0011722,2024-12-02,100
GR-0009542,PO-0011723,2025-01-25,100
GR-0009543,PO-0011724,2025-12-06,742
GR-0009544,PO-0011726,2026-06-05,100
GR-0009545,PO-0011727,2025-03-04,1000
GR-0009546,PO-0011728,2025-04-07,200
GR-0009547,PO-0011730,2024-10-05,200
GR-0009548,PO-0011731,2025-12-29,50
GR-0009549,PO-0011732,2026-03-30,500
GR-0009550,PO-0011733,2025-07-13,200
GR-0009551,PO-0011736,2025-07-08,100
GR-0009552,PO-0011737,2025-12-17,1000
GR-0009553,PO-0011738,2026-06-03,50
GR-0009554,PO-0011739,2024-05-09,500
GR-0009555,PO-0011740,2026-05-08,500
GR-0009556,PO-0011741,2024-09-09,200
GR-0009557,PO-0011742,2024-08-11,50
GR-0009558,PO-0011743,2024-06-06,1000
GR-0009559,PO-0011745,2025-10-13,200
GR-0009560,PO-0011746,2024-08-30,200
GR-0009561,PO-0011748,2024-12-06,100
GR-0009562,PO-0011749,2024-02-15,100
GR-0009563,PO-0011750,2025-05-03,776
GR-0009564,PO-0011751,2025-11-14,100
GR-0009565,PO-0011753,2025-09-02,50
GR-0009566,PO-0011755,2024-12-01,100
GR-0009567,PO-0011756,2024-12-02,71
GR-0009568,PO-0011759,2025-04-08,48
GR-0009569,PO-0011760,2026-04-12,50
GR-0009570,PO-0011761,2025-01-23,500
GR-0009571,PO-0011762,2025-01-26,100
GR-0009572,PO-0011763,2024-07-15,500
GR-0009573,PO-0011765,2024-07-12,1000
GR-0009574,PO-0011766,2025-05-22,200
GR-0009575,PO-0011767,2025-09-20,100
GR-0009576,PO-0011768,2025-04-08,200
GR-0009577,PO-0011769,2025-10-26,500
GR-0009578,PO-0011770,2026-03-24,500
GR-0009579,PO-0011771,2025-09-22,100
GR-0009580,PO-0011772,2026-02-27,100
GR-0009581,PO-0011774,2024-03-31,200
GR-0009582,PO-0011775,2025-10-02,100
GR-0009583,PO-0011776,2025-12-15,100
GR-0009584,PO-0011777,2024-07-25,200
GR-0009585,PO-0011778,2024-01-30,500
GR-0009586,PO-0011779,2024-11-23,200
GR-0009587,PO-0011780,2025-01-13,1000
GR-0009588,PO-0011782,2024-08-27,200
GR-0009589,PO-0011783,2025-06-18,200
GR-0009590,PO-0011784,2024-10-16,359
GR-0009591,PO-0011785,2024-11-03,50
GR-0009592,PO-0011787,2024-09-24,100
GR-0009593,PO-0011788,2024-10-21,100
GR-0009594,PO-0011789,2025-07-14,200
GR-0009595,PO-0011790,2025-08-18,200
GR-0009596,PO-0011794,2025-08-04,500
GR-0009597,PO-0011795,2025-07-24,500
GR-0009598,PO-0011796,2025-08-31,1000
GR-0009599,PO-0011797,2025-11-12,200
GR-0009600,PO-0011798,2025-09-10,50
GR-0009601,PO-0011799,2025-03-18,100
GR-0009602,PO-0011800,2025-03-25,50
GR-0009603,PO-0011802,2024-06-23,500
GR-0009604,PO-0011803,2024-03-08,200
GR-0009605,PO-0011804,2025-02-06,50
GR-0009606,PO-0011805,2025-06-28,50
GR-0009607,PO-0011806,2026-03-05,50
GR-0009608,PO-0011807,2024-03-06,500
GR-0009609,PO-0011809,2026-04-29,100
GR-0009610,PO-0011810,2025-07-20,49
GR-0009611,PO-0011811,2025-07-04,200
GR-0009612,PO-0011813,2024-06-10,1000
GR-0009613,PO-0011814,2024-04-20,100
GR-0009614,PO-0011815,2025-11-18,200
GR-0009615,PO-0011817,2026-04-14,1000
GR-0009616,PO-0011818,2025-12-31,1000
GR-0009617,PO-0011819,2025-12-11,1000
GR-0009618,PO-0011820,2026-04-18,1000
GR-0009619,PO-0011821,2025-06-26,50
GR-0009620,PO-0011823,2026-01-11,500
GR-0009621,PO-0011824,2026-03-09,1000
GR-0009622,PO-0011825,2025-01-07,50
GR-0009623,PO-0011827,2024-07-11,50
GR-0009624,PO-0011828,2024-08-17,200
GR-0009625,PO-0011830,2026-02-02,100
GR-0009626,PO-0011831,2026-06-04,200
GR-0009627,PO-0011832,2025-01-29,50
GR-0009628,PO-0011834,2026-03-13,1000
GR-0009629,PO-0011835,2024-10-08,50
GR-0009630,PO-0011836,2026-02-21,1000
GR-0009631,PO-0011837,2025-02-08,100
GR-0009632,PO-0011838,2025-10-29,500
GR-0009633,PO-0011840,2024-03-24,100
GR-0009634,PO-0011841,2025-12-25,500
GR-0009635,PO-0011843,2025-05-02,50
GR-0009636,PO-0011844,2024-05-14,100
GR-0009637,PO-0011845,2025-08-09,1000
GR-0009638,PO-0011846,2024-08-05,50
GR-0009639,PO-0011847,2026-05-24,1000
GR-0009640,PO-0011848,2025-12-14,500
GR-0009641,PO-0011850,2025-12-07,500
GR-0009642,PO-0011853,2025-11-05,500
GR-0009643,PO-0011856,2024-10-13,200
GR-0009644,PO-0011857,2024-06-23,500
GR-0009645,PO-0011860,2026-03-24,1000
GR-0009646,PO-0011861,2024-03-09,100
GR-0009647,PO-0011862,2024-04-07,1000
GR-0009648,PO-0011863,2024-09-28,200
GR-0009649,PO-0011864,2026-03-02,162
GR-0009650,PO-0011865,2024-07-22,500
GR-0009651,PO-0011867,2024-03-01,1000
GR-0009652,PO-0011869,2024-12-19,1000
GR-0009653,PO-0011870,2025-02-05,81
GR-0009654,PO-0011871,2025-07-01,500
GR-0009655,PO-0011872,2024-08-17,1000
GR-0009656,PO-0011873,2025-11-25,200
GR-0009657,PO-0011874,2025-12-13,200
GR-0009658,PO-0011876,2025-09-01,100
GR-0009659,PO-0011877,2025-10-21,50
GR-0009660,PO-0011878,2025-01-12,47
GR-0009661,PO-0011879,2025-05-04,1000
GR-0009662,PO-0011881,2024-06-09,50
GR-0009663,PO-0011883,2024-06-30,100
GR-0009664,PO-0011885,2025-12-29,50
GR-0009665,PO-0011887,2025-08-06,500
GR-0009666,PO-0011888,2025-06-30,500
GR-0009667,PO-0011889,2026-04-01,1000
GR-0009668,PO-0011890,2024-08-21,1000
GR-0009669,PO-0011891,2025-04-30,100
GR-0009670,PO-0011893,2026-03-22,100
GR-0009671,PO-0011894,2026-02-26,50
GR-0009672,PO-0011895,2024-03-30,200
GR-0009673,PO-0011896,2024-01-18,50
GR-0009674,PO-0011897,2026-01-31,1000
GR-0009675,PO-0011898,2024-12-13,1000
GR-0009676,PO-0011900,2024-10-01,500
GR-0009677,PO-0011901,2024-08-24,200
GR-0009678,PO-0011902,2026-01-07,100
GR-0009679,PO-0011903,2025-03-16,1000
GR-0009680,PO-0011904,2025-10-11,50
GR-0009681,PO-0011906,2026-05-13,200
GR-0009682,PO-0011908,2025-07-07,200
GR-0009683,PO-0011909,2025-01-12,50
GR-0009684,PO-0011912,2024-07-27,1000
GR-0009685,PO-0011913,2024-03-24,50
GR-0009686,PO-0011914,2025-02-14,500
GR-0009687,PO-0011915,2026-05-15,200
GR-0009688,PO-0011916,2025-11-03,200
GR-0009689,PO-0011917,2025-04-14,70
GR-0009690,PO-0011918,2025-01-19,50
GR-0009691,PO-0011919,2026-04-20,1000
GR-0009692,PO-0011920,2025-01-06,93
GR-0009693,PO-0011921,2025-10-26,50
GR-0009694,PO-0011922,2025-11-12,1000
GR-0009695,PO-0011923,2024-08-10,500
GR-0009696,PO-0011924,2024-08-18,500
GR-0009697,PO-0011925,2025-07-16,200
GR-0009698,PO-0011926,2025-08-13,200
GR-0009699,PO-0011928,2025-08-12,100
GR-0009700,PO-0011932,2025-11-12,100
GR-0009701,PO-0011934,2025-05-29,1000
GR-0009702,PO-0011935,2024-10-05,100
GR-0009703,PO-0011936,2024-12-30,50
GR-0009704,PO-0011937,2024-11-23,500
GR-0009705,PO-0011938,2025-12-25,100
GR-0009706,PO-0011939,2025-02-10,100
GR-0009707,PO-0011940,2025-05-10,500
GR-0009708,PO-0011942,2024-06-12,200
GR-0009709,PO-0011943,2026-06-08,500
GR-0009710,PO-0011944,2025-09-12,100
GR-0009711,PO-0011945,2024-03-01,200
GR-0009712,PO-0011946,2025-04-08,50
GR-0009713,PO-0011947,2024-06-15,500
GR-0009714,PO-0011948,2026-02-27,50
GR-0009715,PO-0011949,2024-06-09,50
GR-0009716,PO-0011950,2025-12-17,200
GR-0009717,PO-0011951,2025-03-30,50
GR-0009718,PO-0011952,2025-06-09,1000
GR-0009719,PO-0011953,2025-11-19,500
GR-0009720,PO-0011954,2024-05-04,500
GR-0009721,PO-0011955,2024-02-13,500
GR-0009722,PO-0011957,2024-03-17,500
GR-0009723,PO-0011958,2024-08-30,100
GR-0009724,PO-0011959,2026-04-10,1000
GR-0009725,PO-0011960,2024-12-02,200
GR-0009726,PO-0011961,2025-01-02,100
GR-0009727,PO-0011962,2024-04-09,50
GR-0009728,PO-0011963,2026-04-09,50
GR-0009729,PO-0011965,2025-11-01,1000
GR-0009730,PO-0011966,2024-12-09,1000
GR-0009731,PO-0011967,2024-12-13,200
GR-0009732,PO-0011968,2024-05-09,500
GR-0009733,PO-0011969,2025-05-24,200
GR-0009734,PO-0011970,2024-12-21,200
GR-0009735,PO-0011971,2025-07-09,1000
GR-0009736,PO-0011972,2025-03-18,500
GR-0009737,PO-0011973,2025-04-06,50
GR-0009738,PO-0011974,2024-01-21,500
GR-0009739,PO-0011975,2024-06-10,200
GR-0009740,PO-0011976,2024-09-04,200
GR-0009741,PO-0011978,2024-02-17,500
GR-0009742,PO-0011979,2026-04-25,200
GR-0009743,PO-0011982,2024-12-03,1000
GR-0009744,PO-0011983,2026-03-30,500
GR-0009745,PO-0011984,2024-11-28,200
GR-0009746,PO-0011985,2024-06-22,50
GR-0009747,PO-0011986,2025-08-22,200
GR-0009748,PO-0011987,2025-04-16,500
GR-0009749,PO-0011988,2025-12-14,200
GR-0009750,PO-0011989,2024-08-21,500
GR-0009751,PO-0011990,2024-06-24,50
GR-0009752,PO-0011991,2025-07-03,500
GR-0009753,PO-0011992,2025-01-13,1000
GR-0009754,PO-0011994,2024-09-26,1000
GR-0009755,PO-0011995,2025-03-01,100
GR-0009756,PO-0011996,2024-04-13,200
GR-0009757,PO-0011997,2024-07-15,100
GR-0009758,PO-0011998,2025-11-10,50
GR-0009759,PO-0011999,2025-06-16,500
GR-0009760,PO-0012000,2025-12-05,50
GR-0009761,PO-0012001,2025-11-21,1000
GR-0009762,PO-0012003,2024-12-12,50
GR-0009763,PO-0012005,2025-10-11,1000
GR-0009764,PO-0012007,2025-12-20,200
GR-0009765,PO-0012008,2024-08-20,200
GR-0009766,PO-0012009,2025-11-22,1000
GR-0009767,PO-0012010,2025-02-03,100
GR-0009768,PO-0012011,2026-04-09,100
GR-0009769,PO-0012012,2026-04-24,100
GR-0009770,PO-0012013,2024-06-02,500
GR-0009771,PO-0012014,2024-03-25,1000
GR-0009772,PO-0012015,2026-01-13,100
GR-0009773,PO-0012016,2024-05-03,200
GR-0009774,PO-0012017,2026-03-01,500
GR-0009775,PO-0012019,2026-03-01,70
GR-0009776,PO-0012020,2024-05-27,1000
GR-0009777,PO-0012021,2025-03-03,73
GR-0009778,PO-0012022,2024-08-26,50
GR-0009779,PO-0012023,2025-09-10,500
GR-0009780,PO-0012024,2025-09-07,200
GR-0009781,PO-0012025,2025-12-12,200
GR-0009782,PO-0012026,2024-12-09,100
GR-0009783,PO-0012027,2025-11-01,50
GR-0009784,PO-0012028,2025-06-20,50
GR-0009785,PO-0012029,2025-11-20,500
GR-0009786,PO-0012030,2026-03-02,50
GR-0009787,PO-0012031,2026-03-19,50
GR-0009788,PO-0012033,2025-07-04,50
GR-0009789,PO-0012034,2026-04-04,200
GR-0009790,PO-0012035,2025-09-02,1000
GR-0009791,PO-0012036,2024-11-20,100
GR-0009792,PO-0012037,2024-11-25,183
GR-0009793,PO-0012038,2024-06-07,82
GR-0009794,PO-0012039,2024-06-13,200
GR-0009795,PO-0012041,2024-04-23,50
GR-0009796,PO-0012043,2025-12-01,200
GR-0009797,PO-0012044,2024-04-15,50
GR-0009798,PO-0012046,2025-01-03,100
GR-0009799,PO-0012047,2025-08-14,1000
GR-0009800,PO-0012050,2024-05-27,1000
GR-0009801,PO-0012052,2025-06-18,500
GR-0009802,PO-0012054,2025-03-17,500
GR-0009803,PO-0012055,2024-02-03,500
GR-0009804,PO-0012056,2025-01-19,100
GR-0009805,PO-0012057,2026-04-28,1000
GR-0009806,PO-0012058,2024-12-24,1000
GR-0009807,PO-0012059,2026-05-21,1000
GR-0009808,PO-0012060,2024-04-02,500
GR-0009809,PO-0012061,2024-12-11,200
GR-0009810,PO-0012062,2024-12-29,500
GR-0009811,PO-0012063,2024-02-23,200
GR-0009812,PO-0012064,2025-09-30,1000
GR-0009813,PO-0012066,2026-05-06,200
GR-0009814,PO-0012067,2025-08-04,200
GR-0009815,PO-0012068,2025-04-30,100
GR-0009816,PO-0012071,2025-08-09,500
GR-0009817,PO-0012073,2024-12-22,500
GR-0009818,PO-0012075,2026-03-10,1000
