col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h
PO-0006243,S-0006,M-0093,2025-04-01,2025-05-15,200,2812.46,CLOSED
PO-0006244,S-0051,M-0169,2026-04-03,2026-05-06,1000,4944.66,CLOSED
PO-0006245,S-0016,M-0080,2025-03-18,2025-05-04,50,2928.7,CLOSED
PO-0006246,S-0044,M-0150,2026-04-26,2026-05-15,500,530.96,CLOSED
PO-0006247,S-0054,M-0005,2026-02-15,2026-03-06,200,1547.46,CLOSED
PO-0006248,S-0051,M-0151,2026-03-01,2026-04-03,1000,2918.89,CLOSED
PO-0006249,S-0014,M-0015,2025-01-27,2025-03-15,1000,558.83,CLOSED
PO-0006250,S-0051,M-0151,2024-06-30,2024-08-02,1000,2918.89,CLOSED
PO-0006251,S-0020,M-0105,2024-03-24,2024-05-11,500,2527.34,CLOSED
PO-0006252,S-0055,M-0075,2025-02-25,2025-03-24,500,2463.37,CLOSED
PO-0006253,S-0031,M-0133,2026-03-17,2026-04-16,500,3135.13,CLOSED
PO-0006254,S-0049,M-0058,2025-08-10,2025-09-15,200,3772.45,CLOSED
PO-0006255,S-0046,M-0181,2024-03-07,2024-04-24,50,4973.41,CLOSED
PO-0006256,S-0054,M-0059,2025-10-09,2025-10-28,200,145.95,OPEN
PO-0006257,S-0003,M-0014,2024-03-30,2024-05-03,1000,4499.96,CLOSED
PO-0006258,S-0049,M-0051,2025-06-01,2025-07-07,1000,2714.19,CLOSED
PO-0006259,S-0025,M-0145,2025-09-29,2025-10-10,500,1224.17,CLOSED
PO-0006260,S-0041,M-0035,2024-01-21,2024-02-01,50,512.27,CLOSED
PO-0006261,S-0019,M-0008,2024-04-09,2024-05-11,200,3602.18,CLOSED
PO-0006262,S-0023,M-0082,2024-03-28,2024-04-12,200,1567.78,CLOSED
PO-0006263,S-0044,M-0150,2026-02-24,2026-03-15,50,530.96,CLOSED
PO-0006264,S-0057,M-0004,2025-11-10,2025-11-21,1000,1879.16,CLOSED
PO-0006265,S-0053,M-0091,2025-06-11,2025-07-06,500,2484.15,OPEN
PO-0006266,S-0058,M-0070,2024-06-09,2024-06-23,100,807.31,CLOSED
PO-0006267,S-0051,M-0151,2025-02-07,2025-03-12,500,2918.89,CLOSED
PO-0006268,S-0031,M-0133,2024-07-22,2024-08-21,50,3135.13,OPEN
PO-0006269,S-0056,M-0089,2024-04-27,2024-06-06,500,1457.48,CLOSED
PO-0006270,S-0038,M-0066,2024-07-29,2024-09-07,100,3501.11,CLOSED
PO-0006271,S-0001,M-0173,2025-04-03,2025-05-27,500,2964.82,CLOSED
PO-0006272,S-0048,M-0197,2024-12-08,2025-01-18,1000,1912.16,OPEN
PO-0006273,S-0047,M-0083,2024-02-19,2024-03-18,100,641.8,CLOSED
PO-0006274,S-0059,M-0152,2025-03-24,2025-04-05,1000,3750.03,CLOSED
PO-0006275,S-0009,M-0161,2024-07-05,2024-08-19,1000,1556.6,CLOSED
PO-0006276,S-0005,M-0170,2025-08-13,2025-09-30,1000,2952.6,CLOSED
PO-0006277,S-0006,M-0106,2025-09-10,2025-10-24,500,4452.64,CLOSED
PO-0006278,S-0024,M-0192,2024-04-02,2024-04-18,500,2891.8,CLOSED
PO-0006279,S-0059,M-0129,2025-11-03,2025-11-15,100,4942.65,CLOSED
PO-0006280,S-0022,M-0090,2026-02-14,2026-03-30,100,1299.77,CLOSED
PO-0006281,S-0001,M-0147,2025-01-15,2025-03-10,100,3902.64,OPEN
PO-0006282,S-0012,M-0084,2025-06-28,2025-07-09,500,3706.09,CLOSED
PO-0006283,S-0020,M-0144,2026-02-16,2026-04-05,50,1287.99,CLOSED
PO-0006284,S-0047,M-0177,2024-08-17,2024-09-14,1000,2317.31,CLOSED
PO-0006285,S-0017,M-0174,2024-03-14,2024-04-19,100,3721.5,CLOSED
PO-0006286,S-0042,M-0164,2026-03-18,2026-05-06,1000,3097.48,CLOSED
PO-0006287,S-0018,M-0046,2025-03-27,2025-04-23,200,4470.48,CLOSED
PO-0006288,S-0026,M-0196,2024-02-09,2024-03-03,1000,3717.8,CLOSED
PO-0006289,S-0054,M-0005,2024-03-04,2024-03-23,500,1547.46,CLOSED
PO-0006290,S-0003,M-0014,2025-01-02,2025-02-05,50,4499.96,CLOSED
PO-0006291,S-0007,M-0166,2024-02-26,2024-03-31,200,4513.4,CLOSED
PO-0006292,S-0020,M-0190,2025-10-31,2025-12-18,200,2910.7,CLOSED
PO-0006293,S-0024,M-0192,2025-10-08,2025-10-24,100,2891.8,CLOSED
PO-0006294,S-0009,M-0161,2024-06-16,2024-07-31,1000,1556.6,CLOSED
PO-0006295,S-0019,M-0086,2025-01-04,2025-02-05,200,938.24,CLOSED
PO-0006296,S-0030,M-0122,2024-04-01,2024-04-14,100,1948.75,CLOSED
PO-0006297,S-0046,M-0181,2025-07-16,2025-09-02,100,4973.41,CANCELLED
PO-0006298,S-0048,M-0123,2024-01-10,2024-02-20,50,1417.42,CLOSED
PO-0006299,S-0059,M-0179,2026-04-25,2026-05-07,50,4501.37,CLOSED
PO-0006300,S-0002,M-0108,2024-01-21,2024-02-03,100,249.15,CLOSED
PO-0006301,S-0003,M-0138,2024-10-21,2024-11-24,50,1502.17,CLOSED
PO-0006302,S-0041,M-0045,2025-12-18,2025-12-29,200,2227.37,CLOSED
PO-0006303,S-0050,M-0193,2024-03-28,2024-05-15,500,3391.13,CLOSED
PO-0006304,S-0039,M-0094,2024-12-10,2025-01-07,1000,3889.68,CLOSED
PO-0006305,S-0012,M-0140,2024-11-26,2024-12-07,1000,4360.66,CLOSED
PO-0006306,S-0060,M-0002,2026-03-13,2026-04-02,100,2318.51,CLOSED
PO-0006307,S-0044,M-0092,2024-05-27,2024-06-15,1000,788.53,OPEN
PO-0006308,S-0041,M-0135,2025-09-19,2025-09-30,500,227.7,CLOSED
PO-0006309,S-0017,M-0154,2025-10-26,2025-12-01,500,3745.47,CLOSED
PO-0006310,S-0025,M-0128,2024-09-29,2024-10-10,500,266.05,CLOSED
PO-0006311,S-0038,M-0176,2024-06-03,2024-07-13,1000,2544,CLOSED
PO-0006312,S-0053,M-0091,2026-01-13,2026-02-07,50,2484.15,CLOSED
PO-0006313,S-0034,M-0081,2025-02-16,2025-04-10,200,4983.33,CLOSED
PO-0006314,S-0043,M-0029,2025-10-28,2025-12-10,50,2041.88,CLOSED
PO-0006315,S-0045,M-0165,2025-07-23,2025-08-26,500,2244.75,CLOSED
PO-0006316,S-0051,M-0151,2024-08-05,2024-09-07,500,2918.89,CLOSED
PO-0006317,S-0041,M-0110,2025-01-20,2025-01-31,100,2376.55,CLOSED
PO-0006318,S-0017,M-0057,2024-08-27,2024-10-02,200,1097.72,CLOSED
PO-0006319,S-0020,M-0105,2024-08-22,2024-10-09,100,2527.34,OPEN
PO-0006320,S-0048,M-0148,2024-05-31,2024-07-11,100,3889.92,CLOSED
PO-0006321,S-0025,M-0158,2024-03-17,2024-03-28,200,3390.44,CLOSED
PO-0006322,S-0016,M-0141,2025-10-16,2025-12-02,500,758.43,CLOSED
PO-0006323,S-0003,M-0013,2024-11-26,2024-12-30,100,2785,CLOSED
PO-0006324,S-0031,M-0034,2026-02-08,2026-03-10,500,469.74,CLOSED
PO-0006325,S-0025,M-0145,2025-03-13,2025-03-24,100,1224.17,CLOSED
PO-0006326,S-0020,M-0105,2025-01-21,2025-03-10,50,2527.34,CLOSED
PO-0006327,S-0047,M-0156,2025-07-24,2025-08-21,50,1860.59,CLOSED
PO-0006328,S-0002,M-0053,2025-09-20,2025-10-03,500,3360.92,CLOSED
PO-0006329,S-0001,M-0077,2025-06-02,2025-07-26,1000,473.78,CLOSED
PO-0006330,S-0043,M-0029,2026-03-29,2026-05-11,1000,2041.88,CLOSED
PO-0006331,S-0010,M-0186,2025-09-07,2025-09-21,500,501.56,CLOSED
PO-0006332,S-0044,M-0065,2025-05-03,2025-05-22,500,4710.28,CLOSED
PO-0006333,S-0022,M-0021,2024-05-25,2024-07-08,100,4836.1,CLOSED
PO-0006334,S-0040,M-0159,2024-03-24,2024-04-14,1000,4580.52,CLOSED
PO-0006335,S-0037,M-0096,2025-05-19,2025-06-14,1000,3067.67,OPEN
PO-0006336,S-0003,M-0138,2024-08-14,2024-09-17,100,1502.17,CLOSED
PO-0006337,S-0047,M-0083,2025-08-26,2025-09-23,50,641.8,CLOSED
PO-0006338,S-0054,M-0059,2025-01-23,2025-02-11,200,145.95,CLOSED
PO-0006339,S-0034,M-0071,2024-11-06,2024-12-29,100,4050.59,CLOSED
PO-0006340,S-0046,M-0121,2024-04-15,2024-06-02,100,4181.88,CLOSED
PO-0006341,S-0026,M-0196,2025-02-20,2025-03-15,200,3717.8,CLOSED
PO-0006342,S-0042,M-0183,2025-01-12,2025-03-02,1000,4334.19,OPEN
PO-0006343,S-0034,M-0081,2026-04-20,2026-06-12,1000,4983.33,CLOSED
PO-0006344,S-0028,M-0187,2025-12-21,2026-01-15,50,3707.04,CLOSED
PO-0006345,S-0020,M-0144,2025-05-15,2025-07-02,200,1287.99,CLOSED
PO-0006346,S-0030,M-0122,2024-07-13,2024-07-26,500,1948.75,OPEN
PO-0006347,S-0034,M-0109,2024-09-10,2024-11-02,50,948.37,CLOSED
PO-0006348,S-0045,M-0165,2026-04-12,2026-05-16,1000,2244.75,CLOSED
PO-0006349,S-0051,M-0169,2025-08-06,2025-09-08,500,4944.66,CLOSED
PO-0006350,S-0005,M-0003,2026-03-20,2026-05-07,50,2554.13,CLOSED
PO-0006351,S-0020,M-0036,2025-09-07,2025-10-25,500,779.4,CLOSED
PO-0006352,S-0011,M-0198,2026-01-28,2026-03-15,50,3621.9,CLOSED
PO-0006353,S-0046,M-0038,2025-02-18,2025-04-07,200,2028.28,CLOSED
PO-0006354,S-0045,M-0099,2024-08-31,2024-10-04,50,1491.73,CLOSED
PO-0006355,S-0056,M-0018,2025-04-14,2025-05-24,500,838.03,CLOSED
PO-0006356,S-0010,M-0186,2026-03-18,2026-04-01,500,501.56,CLOSED
PO-0006357,S-0017,M-0142,2025-04-16,2025-05-22,50,3350.86,CANCELLED
PO-0006358,S-0035,M-0172,2025-05-27,2025-07-15,200,594.14,CLOSED
PO-0006359,S-0058,M-0052,2025-12-08,2025-12-22,1000,1136.14,CLOSED
PO-0006360,S-0031,M-0037,2025-03-23,2025-04-22,1000,2304.31,CLOSED
PO-0006361,S-0048,M-0197,2025-04-09,2025-05-20,50,1912.16,CLOSED
PO-0006362,S-0010,M-0047,2024-03-07,2024-03-21,100,3485.05,CLOSED
PO-0006363,S-0017,M-0142,2025-04-05,2025-05-11,50,3350.86,CLOSED
PO-0006364,S-0029,M-0116,2025-08-05,2025-09-27,1000,1371.93,CLOSED
PO-0006365,S-0017,M-0044,2024-11-13,2024-12-19,50,1422.69,CLOSED
PO-0006366,S-0002,M-0050,2025-08-02,2025-08-15,50,2411.05,CLOSED
PO-0006367,S-0041,M-0009,2025-02-21,2025-03-04,1000,2468.23,CLOSED
PO-0006368,S-0026,M-0196,2025-06-12,2025-07-05,50,3717.8,CLOSED
PO-0006369,S-0034,M-0109,2024-12-10,2025-02-01,500,948.37,CLOSED
PO-0006370,S-0044,M-0092,2025-04-04,2025-04-23,100,788.53,CLOSED
PO-0006371,S-0017,M-0026,2026-04-10,2026-05-16,50,2208.48,CLOSED
PO-0006372,S-0051,M-0169,2024-05-13,2024-06-15,200,4944.66,CANCELLED
PO-0006373,S-0022,M-0076,2024-02-10,2024-03-25,100,3520.86,CLOSED
PO-0006374,S-0026,M-0167,2025-09-21,2025-10-14,1000,4842.62,CLOSED
PO-0006375,S-0004,M-0115,2024-06-03,2024-07-12,100,1840.81,CLOSED
PO-0006376,S-0046,M-0121,2025-10-06,2025-11-23,100,4181.88,CLOSED
PO-0006377,S-0042,M-0022,2025-01-13,2025-03-03,50,3413.61,CLOSED
PO-0006378,S-0017,M-0063,2024-04-29,2024-06-04,500,3049.17,CLOSED
PO-0006379,S-0002,M-0023,2024-12-17,2024-12-30,200,933.91,CLOSED
PO-0006380,S-0002,M-0023,2024-08-24,2024-09-06,200,933.91,CLOSED
PO-0006381,S-0044,M-0092,2024-02-16,2024-03-06,50,788.53,CLOSED
PO-0006382,S-0020,M-0036,2024-05-13,2024-06-30,500,779.4,CLOSED
PO-0006383,S-0048,M-0175,2024-02-08,2024-03-20,500,2268.96,CLOSED
PO-0006384,S-0020,M-0190,2025-12-13,2026-01-30,1000,2910.7,OPEN
PO-0006385,S-0017,M-0174,2024-08-18,2024-09-23,500,3721.5,CLOSED
PO-0006386,S-0020,M-0036,2024-06-17,2024-08-04,200,779.4,CLOSED
PO-0006387,S-0028,M-0187,2024-08-14,2024-09-08,100,3707.04,CLOSED
PO-0006388,S-0045,M-0165,2025-11-14,2025-12-18,100,2244.75,CLOSED
PO-0006389,S-0020,M-0105,2025-02-15,2025-04-04,100,2527.34,CLOSED
PO-0006390,S-0041,M-0009,2024-09-23,2024-10-04,200,2468.23,CLOSED
PO-0006391,S-0010,M-0186,2025-07-17,2025-07-31,1000,501.56,CLOSED
PO-0006392,S-0034,M-0081,2024-04-16,2024-06-08,200,4983.33,CLOSED
PO-0006393,S-0059,M-0129,2025-04-03,2025-04-15,100,4942.65,CLOSED
PO-0006394,S-0009,M-0030,2025-02-11,2025-03-28,500,3341.4,OPEN
PO-0006395,S-0020,M-0144,2024-04-15,2024-06-02,100,1287.99,OPEN
PO-0006396,S-0054,M-0059,2025-10-03,2025-10-22,1000,145.95,CLOSED
PO-0006397,S-0017,M-0026,2025-01-25,2025-03-02,200,2208.48,CLOSED
PO-0006398,S-0052,M-0040,2025-01-13,2025-01-30,500,298.58,CLOSED
PO-0006399,S-0053,M-0104,2025-08-30,2025-09-24,1000,2223.81,CLOSED
PO-0006400,S-0039,M-0194,2025-08-21,2025-09-18,200,943.06,OPEN
PO-0006401,S-0043,M-0191,2025-10-16,2025-11-28,1000,4244.01,OPEN
PO-0006402,S-0029,M-0126,2024-10-13,2024-12-05,200,1758.36,CLOSED
PO-0006403,S-0048,M-0031,2025-04-22,2025-06-02,100,2867.07,CLOSED
PO-0006404,S-0025,M-0127,2024-04-06,2024-04-17,500,4354.53,CLOSED
PO-0006405,S-0011,M-0198,2024-09-15,2024-10-31,500,3621.9,CLOSED
PO-0006406,S-0028,M-0068,2024-09-25,2024-10-20,50,2554.51,CLOSED
PO-0006407,S-0020,M-0190,2025-10-10,2025-11-27,100,2910.7,CLOSED
PO-0006408,S-0037,M-0074,2026-01-15,2026-02-10,200,1926,CLOSED
PO-0006409,S-0017,M-0057,2026-01-17,2026-02-22,500,1097.72,CLOSED
PO-0006410,S-0041,M-0110,2024-05-18,2024-05-29,50,2376.55,CLOSED
PO-0006411,S-0012,M-0084,2026-01-23,2026-02-03,100,3706.09,CLOSED
PO-0006412,S-0017,M-0107,2024-01-03,2024-02-08,500,1183.18,CLOSED
PO-0006413,S-0058,M-0070,2024-01-04,2024-01-18,100,807.31,CLOSED
PO-0006414,S-0054,M-0073,2024-06-07,2024-06-26,200,4414.07,CLOSED
PO-0006415,S-0002,M-0023,2024-07-31,2024-08-13,1000,933.91,CLOSED
PO-0006416,S-0056,M-0089,2024-03-15,2024-04-24,50,1457.48,CLOSED
PO-0006417,S-0011,M-0198,2024-05-24,2024-07-09,500,3621.9,CLOSED
PO-0006418,S-0059,M-0129,2025-10-15,2025-10-27,50,4942.65,CLOSED
PO-0006419,S-0017,M-0113,2024-06-09,2024-07-15,500,4852.41,CLOSED
PO-0006420,S-0041,M-0009,2025-12-09,2025-12-20,100,2468.23,CLOSED
PO-0006421,S-0045,M-0039,2025-02-20,2025-03-26,500,3903.18,CLOSED
PO-0006422,S-0020,M-0105,2024-05-08,2024-06-25,500,2527.34,CLOSED
PO-0006423,S-0003,M-0130,2026-03-23,2026-04-26,1000,4828.5,OPEN
PO-0006424,S-0052,M-0149,2025-10-11,2025-10-28,200,3201.26,CLOSED
PO-0006425,S-0046,M-0181,2025-04-13,2025-05-31,200,4973.41,CLOSED
PO-0006426,S-0056,M-0019,2024-07-25,2024-09-03,500,1151.05,CLOSED
PO-0006427,S-0028,M-0187,2026-02-07,2026-03-04,500,3707.04,CLOSED
PO-0006428,S-0038,M-0176,2024-12-04,2025-01-13,100,2544,CLOSED
PO-0006429,S-0059,M-0129,2024-08-02,2024-08-14,100,4942.65,CLOSED
PO-0006430,S-0021,M-0028,2025-05-10,2025-06-02,500,4505.23,CLOSED
PO-0006431,S-0011,M-0054,2025-07-21,2025-09-05,1000,4904.57,CLOSED
PO-0006432,S-0028,M-0187,2024-04-08,2024-05-03,1000,3707.04,CLOSED
PO-0006433,S-0005,M-0003,2024-06-10,2024-07-28,100,2554.13,CLOSED
PO-0006434,S-0041,M-0136,2025-12-10,2025-12-21,1000,3746.49,CLOSED
PO-0006435,S-0043,M-0029,2024-12-28,2025-02-09,200,2041.88,CLOSED
PO-0006436,S-0006,M-0093,2025-05-11,2025-06-24,100,2812.46,CLOSED
PO-0006437,S-0042,M-0022,2024-01-23,2024-03-12,500,3413.61,CLOSED
PO-0006438,S-0053,M-0091,2024-03-02,2024-03-27,200,2484.15,CLOSED
PO-0006439,S-0043,M-0168,2024-06-27,2024-08-09,100,3215.49,CLOSED
PO-0006440,S-0035,M-0087,2024-04-17,2024-06-05,1000,275.3,CANCELLED
PO-0006441,S-0046,M-0038,2025-03-12,2025-04-29,50,2028.28,OPEN
PO-0006442,S-0006,M-0199,2024-09-07,2024-10-21,200,829.18,CLOSED
PO-0006443,S-0041,M-0136,2024-10-23,2024-11-03,50,3746.49,CLOSED
PO-0006444,S-0026,M-0167,2024-01-19,2024-02-11,500,4842.62,CLOSED
PO-0006445,S-0041,M-0010,2025-07-31,2025-08-11,1000,268.23,CLOSED
PO-0006446,S-0037,M-0096,2024-02-20,2024-03-17,1000,3067.67,CLOSED
PO-0006447,S-0044,M-0143,2026-04-08,2026-04-27,100,415.62,CLOSED
PO-0006448,S-0041,M-0135,2025-12-03,2025-12-14,500,227.7,CLOSED
PO-0006449,S-0054,M-0005,2024-07-18,2024-08-06,1000,1547.46,CLOSED
PO-0006450,S-0020,M-0190,2025-11-11,2025-12-29,500,2910.7,CLOSED
PO-0006451,S-0007,M-0162,2024-06-30,2024-08-03,200,721.54,CLOSED
PO-0006452,S-0057,M-0184,2025-07-01,2025-07-12,1000,1727.71,CLOSED
PO-0006453,S-0054,M-0059,2025-06-29,2025-07-18,50,145.95,OPEN
PO-0006454,S-0041,M-0045,2024-06-05,2024-06-16,1000,2227.37,CLOSED
PO-0006455,S-0011,M-0198,2024-12-01,2025-01-16,200,3621.9,CLOSED
PO-0006456,S-0017,M-0174,2024-09-11,2024-10-17,1000,3721.5,CLOSED
PO-0006457,S-0016,M-0061,2025-10-18,2025-12-04,50,3125.61,CLOSED
PO-0006458,S-0017,M-0154,2024-10-01,2024-11-06,500,3745.47,CLOSED
PO-0006459,S-0023,M-0189,2024-10-03,2024-10-18,500,304.66,CLOSED
PO-0006460,S-0006,M-0134,2024-09-04,2024-10-18,500,4303.74,CLOSED
PO-0006461,S-0035,M-0087,2025-07-11,2025-08-29,100,275.3,CLOSED
