col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i
20241130,W-13,M-0037,788,721,129,132,0,0
20241130,W-13,M-0174,2108,2452,78,68,0,0
20241130,W-13,M-0165,1466,1791,692,777,0,0
20241130,W-13,M-0189,1959,1562,498,119,0,0
20241130,W-13,M-0104,1345,1392,141,207,0,0
20241130,W-13,M-0144,2909,2615,772,593,0,0
20241130,W-13,M-0024,1823,2119,998,10,0,0
20241130,W-13,M-0185,1567,1320,851,250,0,0
20241130,W-13,M-0169,1348,1292,150,222,0,0
20241130,W-13,M-0006,1693,1709,88,498,0,0
20241130,W-13,M-0046,1053,643,912,362,0,0
20241130,W-13,M-0199,524,531,582,130,0,0
20241130,W-13,M-0116,1778,1534,333,852,0,0
20241130,W-13,M-0001,319,0,200,90,1,1
20241130,W-13,M-0141,370,560,341,374,0,0
20241130,W-13,M-0056,1947,1803,207,269,0,0
20241130,W-13,M-0034,2158,1971,192,942,0,0
20241130,W-13,M-0053,2472,2568,410,547,0,0
20241130,W-13,M-0187,2936,3140,118,932,0,0
20241130,W-13,M-0052,570,612,687,684,0,0
20241130,W-13,M-0157,956,1427,895,594,0,0
20241130,W-13,M-0107,339,103,359,149,0,0
20241130,W-13,M-0054,1809,1620,537,313,0,0
20241130,W-13,M-0069,2157,2196,684,773,0,0
20241130,W-14,M-0125,1096,1124,388,106,0,0
20241130,W-14,M-0043,804,1116,635,660,0,0
20241130,W-14,M-0072,891,1021,434,912,0,0
20241130,W-14,M-0129,1029,1224,904,586,0,0
20241130,W-14,M-0113,631,165,117,682,0,0
20241130,W-14,M-0182,149,119,15,254,0,1
20241130,W-14,M-0005,533,526,820,978,0,1
20241130,W-14,M-0180,344,748,302,776,0,0
20241130,W-14,M-0049,346,36,45,192,0,1
20241130,W-14,M-0142,2343,2756,570,595,0,0
20241130,W-14,M-0200,1015,1460,329,913,0,0
20241130,W-14,M-0137,2449,2419,992,795,0,0
20241130,W-14,M-0093,1279,1190,804,839,0,0
20241130,W-14,M-0050,1152,1540,178,95,0,0
20241130,W-14,M-0110,2169,1887,939,716,0,0
20241130,W-14,M-0131,2629,2636,214,599,0,0
20241130,W-14,M-0169,1296,1039,240,648,0,0
20241130,W-14,M-0149,1733,1290,142,766,0,0
20241130,W-14,M-0140,430,536,793,666,0,0
20241130,W-14,M-0086,1765,1626,634,107,0,0
20241130,W-14,M-0115,1638,1459,813,232,0,0
20241130,W-14,M-0130,929,969,241,144,0,0
20241130,W-14,M-0002,2440,2569,261,983,0,0
20241130,W-14,M-0003,1144,1604,292,365,0,0
20241130,W-14,M-0029,2552,2254,237,652,0,0
20241130,W-14,M-0084,1573,2032,326,513,0,0
20241130,W-14,M-0160,677,403,551,121,0,1
20241130,W-14,M-0040,1693,1206,951,179,0,0
20241130,W-14,M-0139,2702,2590,617,790,0,0
20241130,W-14,M-0077,2400,2419,882,99,0,0
20241130,W-14,M-0138,1627,1708,946,337,0,0
20241130,W-14,M-0020,1642,1594,183,138,0,0
20241130,W-14,M-0166,480,228,340,503,0,1
20241130,W-14,M-0067,4,0,557,142,1,1
20241130,W-14,M-0058,2319,2020,263,622,0,0
20241130,W-14,M-0098,485,443,519,675,0,0
20241130,W-14,M-0044,2723,2654,172,329,0,0
20241130,W-14,M-0177,2370,2620,29,28,0,0
20241130,W-14,M-0176,2892,2752,48,468,0,0
20241130,W-14,M-0121,1183,1462,770,376,0,0
20241130,W-14,M-0117,2914,2790,198,811,0,0
20241130,W-14,M-0184,1187,885,396,954,0,0
20241130,W-14,M-0024,2522,2744,404,342,0,0
20241130,W-14,M-0163,1879,1573,38,886,0,0
20241130,W-14,M-0122,2708,2293,583,774,0,0
20241130,W-14,M-0031,2482,2762,746,772,0,0
20241130,W-14,M-0157,510,381,890,460,0,0
20241130,W-14,M-0124,2623,3101,695,972,0,0
20241130,W-14,M-0023,38,265,545,535,0,0
20241130,W-14,M-0071,1485,1973,794,170,0,0
20241130,W-14,M-0025,2201,1841,225,411,0,0
20241130,W-14,M-0091,375,859,154,788,0,0
20241130,W-14,M-0108,1029,910,658,736,0,0
20241130,W-14,M-0167,1721,1705,199,588,0,0
20241130,W-14,M-0075,591,957,880,859,0,0
20241130,W-14,M-0193,1894,2113,99,625,0,0
20241130,W-14,M-0165,1340,1238,437,706,0,0
20241130,W-14,M-0082,542,439,904,220,0,0
20241130,W-14,M-0175,1414,994,770,192,0,0
20241130,W-14,M-0056,2616,2905,892,961,0,0
20241130,W-14,M-0106,956,1237,209,119,0,0
20241130,W-14,M-0123,9,0,898,668,1,1
20241130,W-14,M-0070,944,1340,200,774,0,0
20241130,W-14,M-0092,1197,1620,314,444,0,0
20241130,W-14,M-0104,2224,2188,79,839,0,0
20241130,W-14,M-0119,300,105,246,959,0,0
20241130,W-14,M-0055,1081,948,332,478,0,0
20241130,W-14,M-0042,1650,2039,893,89,0,0
20241130,W-14,M-0152,2756,2298,712,723,0,0
20241130,W-14,M-0063,2142,2120,916,525,0,0
20241130,W-14,M-0066,1669,2064,896,766,0,0
20241130,W-14,M-0069,2344,2132,981,373,0,0
20241130,W-14,M-0073,2837,3015,272,537,0,0
20241130,W-14,M-0107,417,90,737,316,0,0
20241130,W-14,M-0186,1071,1356,851,884,0,0
20241130,W-14,M-0074,379,381,947,328,0,1
20241130,W-14,M-0146,277,108,940,414,0,1
20241130,W-14,M-0192,2625,2474,113,952,0,0
20241130,W-14,M-0061,167,310,982,895,0,0
20241130,W-14,M-0090,710,1057,581,408,0,0
20241130,W-14,M-0188,2785,2867,258,489,0,0
20241130,W-14,M-0078,1042,1404,74,665,0,0
20241130,W-14,M-0045,1841,1730,499,914,0,0
20241130,W-14,M-0100,367,609,994,146,0,1
20241130,W-14,M-0162,680,829,865,9,0,0
20241130,W-14,M-0083,898,1276,647,534,0,0
20241130,W-14,M-0164,1322,1155,529,885,0,0
20241130,W-14,M-0126,2990,2537,273,159,0,0
20241130,W-14,M-0155,892,1148,493,930,0,0
20241130,W-14,M-0057,2892,3177,347,200,0,0
20241130,W-14,M-0143,247,705,48,394,0,0
20241130,W-14,M-0052,2327,2556,164,488,0,0
20241130,W-14,M-0012,1723,1568,491,303,0,0
20241130,W-14,M-0004,2716,2329,104,864,0,0
20241130,W-14,M-0001,2781,2757,603,264,0,0
20241130,W-14,M-0053,406,0,460,708,1,1
20241130,W-14,M-0079,2988,3373,988,575,0,0
20241130,W-14,M-0172,1013,1376,39,625,0,0
20241130,W-14,M-0080,762,627,391,713,0,1
20241130,W-14,M-0136,1670,1881,550,218,0,0
20241130,W-14,M-0135,2944,3389,124,164,0,0
20241130,W-14,M-0197,71,504,618,990,0,0
20241130,W-14,M-0064,1960,1536,72,429,0,0
20241130,W-14,M-0112,1285,1779,840,670,0,0
20241130,W-14,M-0038,2569,2099,428,158,0,0
20241130,W-14,M-0054,760,1256,662,772,0,0
20241130,W-14,M-0133,2301,1955,106,330,0,0
20241130,W-14,M-0011,355,424,827,220,0,0
20241130,W-14,M-0032,803,1244,995,879,0,0
20241130,W-14,M-0041,1066,747,511,376,0,0
20241130,W-14,M-0085,1369,1132,358,968,0,0
20241130,W-14,M-0094,2335,2600,758,890,0,0
20241130,W-14,M-0099,1296,1462,7,694,0,0
20241130,W-14,M-0153,1225,761,596,70,0,0
20241130,W-14,M-0191,1878,1421,814,731,0,0
20241130,W-14,M-0190,1462,1221,15,119,0,0
20241130,W-14,M-0014,1617,1183,146,248,0,0
20241130,W-14,M-0065,656,610,147,246,0,0
20241130,W-14,M-0017,839,1056,524,297,0,0
20241130,W-14,M-0013,2536,2291,108,839,0,0
20241130,W-14,M-0021,1949,1748,704,273,0,0
20241130,W-14,M-0030,2710,2470,811,669,0,0
20241130,W-14,M-0059,1150,1442,578,396,0,0
20241130,W-14,M-0128,1767,1693,83,692,0,0
20241130,W-14,M-0008,2773,2965,154,768,0,0
20241130,W-14,M-0145,1263,798,828,6,0,0
20241130,W-14,M-0096,2439,2887,422,719,0,0
20241130,W-14,M-0181,2859,2758,761,413,0,0
20241130,W-14,M-0102,1425,1531,96,253,0,0
20241130,W-14,M-0036,1086,1569,672,457,0,0
20241130,W-14,M-0178,955,795,954,873,0,0
20241130,W-14,M-0147,2961,3238,196,672,0,0
20241130,W-14,M-0196,542,539,639,920,0,0
20241130,W-14,M-0097,363,470,969,594,0,0
20241130,W-14,M-0009,2785,2940,597,372,0,0
20241130,W-14,M-0068,2570,2157,386,706,0,0
20241130,W-14,M-0016,2371,1958,47,536,0,0
20241130,W-14,M-0019,216,432,411,725,0,0
20241130,W-14,M-0116,107,170,741,977,0,0
20241130,W-14,M-0185,798,1058,805,445,0,0
20241130,W-14,M-0174,2290,2344,136,504,0,0
20241130,W-14,M-0046,1835,1515,712,872,0,0
20241130,W-14,M-0088,2615,2198,977,622,0,0
20241130,W-14,M-0141,1357,1676,842,76,0,0
20241130,W-14,M-0171,1139,1273,674,708,0,0
20241130,W-14,M-0010,1852,2063,698,852,0,0
20241130,W-14,M-0039,2972,3192,677,659,0,0
20241130,W-14,M-0007,1226,1232,132,123,0,0
20241130,W-14,M-0027,699,345,401,673,0,0
20241130,W-14,M-0035,1674,1719,861,367,0,0
20241130,W-15,M-0055,1349,1168,811,811,0,0
20241130,W-15,M-0092,1820,1447,738,206,0,0
20241130,W-15,M-0180,1429,1496,873,631,0,0
20241130,W-15,M-0027,1942,1604,698,635,0,0
20241130,W-15,M-0171,974,1072,286,210,0,0
20241130,W-15,M-0141,1305,861,510,91,0,0
20241130,W-15,M-0112,2343,2708,740,413,0,0
20241130,W-15,M-0162,1927,2151,624,315,0,0
20241130,W-15,M-0047,1774,1946,717,808,0,0
20241130,W-15,M-0155,143,0,732,600,1,1
20241130,W-15,M-0016,2978,2810,539,158,0,0
20241130,W-15,M-0179,514,147,846,427,0,0
20241130,W-15,M-0178,1709,1376,299,230,0,0
20241130,W-15,M-0040,374,793,8,987,0,0
20241130,W-15,M-0109,575,742,126,414,0,0
20241130,W-15,M-0043,1632,1347,588,394,0,0
20241130,W-15,M-0172,1824,1719,414,534,0,0
20241130,W-15,M-0072,2111,1803,227,201,0,0
20241130,W-15,M-0102,1769,1805,568,811,0,0
20241130,W-15,M-0124,2558,2609,913,403,0,0
20241130,W-15,M-0132,380,0,335,930,1,1
20241130,W-15,M-0021,2001,1561,565,598,0,0
20241130,W-15,M-0075,2403,2702,414,76,0,0
20241130,W-15,M-0061,893,566,506,380,0,0
20241130,W-15,M-0020,1806,1987,796,495,0,0
20241130,W-15,M-0156,2001,1710,16,637,0,0
20241130,W-15,M-0067,2564,2132,440,714,0,0
20241130,W-15,M-0095,2938,2626,65,777,0,0
20241130,W-15,M-0175,2861,3110,645,611,0,0
20241130,W-15,M-0105,2250,2745,683,521,0,0
20241130,W-15,M-0111,2703,2312,910,594,0,0
20241130,W-15,M-0001,2814,2793,372,911,0,0
20241130,W-15,M-0148,2498,2017,2,268,0,0
20241130,W-15,M-0041,2474,2621,552,326,0,0
20241130,W-15,M-0063,62,0,99,292,1,1
20241130,W-15,M-0059,821,353,655,395,0,0
20241130,W-15,M-0108,2600,2885,51,421,0,0
20241130,W-15,M-0008,2500,2663,431,660,0,0
20241130,W-15,M-0116,705,1092,684,938,0,0
20241130,W-15,M-0006,1420,1362,976,354,0,0
20241130,W-15,M-0158,322,379,720,506,0,0
20241130,W-15,M-0018,617,346,389,415,0,0
20241130,W-15,M-0024,2075,2536,723,903,0,0
20241130,W-15,M-0117,1900,1716,211,355,0,0
20241130,W-15,M-0003,1442,1545,24,315,0,0
20241130,W-15,M-0002,1452,992,692,766,0,0
20241130,W-15,M-0146,280,752,623,154,0,1
20241130,W-15,M-0026,2982,2532,994,8,0,0
20241130,W-15,M-0188,1400,980,380,877,0,0
20241130,W-15,M-0168,123,336,997,837,0,1
20241130,W-15,M-0135,1353,1798,924,682,0,0
20241130,W-15,M-0012,2016,2159,628,128,0,0
20241130,W-15,M-0134,339,0,419,780,1,1
20241130,W-15,M-0098,1533,1496,254,692,0,0
20241130,W-15,M-0036,342,260,293,41,0,0
20241130,W-15,M-0082,45,0,383,114,1,1
20241130,W-15,M-0070,277,0,171,495,1,1
20241130,W-15,M-0128,1661,2088,986,679,0,0
20241130,W-15,M-0194,123,574,315,383,0,0
20241130,W-15,M-0115,734,1074,975,272,0,0
20241130,W-15,M-0196,414,56,640,824,0,0
20241130,W-15,M-0079,1019,821,227,147,0,0
20241130,W-15,M-0131,896,891,359,527,0,0
20241130,W-15,M-0052,1347,1254,666,400,0,0
20241130,W-15,M-0069,2787,2874,648,598,0,0
20241130,W-15,M-0019,2265,2661,194,760,0,0
20241130,W-15,M-0170,2320,2201,585,244,0,0
20241130,W-15,M-0023,1203,1058,630,298,0,0
20241130,W-15,M-0167,399,84,930,863,0,0
20241130,W-15,M-0129,2437,2566,834,840,0,0
20241130,W-15,M-0122,2241,2691,610,589,0,0
20241130,W-15,M-0028,810,1131,166,336,0,0
20241130,W-15,M-0097,904,950,839,318,0,0
20241130,W-15,M-0074,2886,2890,677,554,0,0
20241130,W-15,M-0184,2424,2421,755,823,0,0
20241130,W-15,M-0100,2706,2321,310,812,0,0
20241130,W-15,M-0017,1157,729,424,738,0,1
20241130,W-15,M-0010,1305,975,758,25,0,0
20241130,W-15,M-0065,575,693,200,361,0,0
20241130,W-15,M-0186,1971,1928,689,544,0,0
20241130,W-15,M-0144,541,553,444,291,0,1
20241130,W-15,M-0160,2522,2025,49,914,0,0
20241130,W-15,M-0037,1687,1404,437,843,0,0
20241130,W-15,M-0119,1166,910,610,635,0,0
20241130,W-15,M-0062,1272,976,558,119,0,0
20241130,W-15,M-0127,2107,1850,778,977,0,0
20241130,W-15,M-0110,1027,973,387,737,0,0
20241130,W-15,M-0050,1031,751,67,925,0,0
20241130,W-15,M-0011,352,397,403,759,0,0
20241130,W-15,M-0187,2818,3240,150,181,0,0
20241130,W-15,M-0087,1529,1450,276,707,0,0
20241130,W-15,M-0034,345,627,753,726,0,1
20241130,W-15,M-0084,399,144,345,335,0,0
20241130,W-15,M-0064,1424,1034,113,21,0,0
20241130,W-15,M-0068,1513,1760,344,463,0,0
20241130,W-15,M-0083,2099,2487,254,0,0,0
20241130,W-15,M-0004,2937,2598,268,671,0,0
20241130,W-15,M-0191,291,376,266,205,0,0
20241130,W-15,M-0032,1470,1765,357,803,0,0
20241130,W-15,M-0088,1589,1596,209,852,0,0
20241130,W-15,M-0080,276,548,377,265,0,1
20241130,W-15,M-0176,2929,2507,333,361,0,0
20241130,W-15,M-0051,132,71,722,81,0,1
20241130,W-15,M-0193,2036,1939,39,657,0,0
20241130,W-15,M-0038,1052,886,804,267,0,0
20241130,W-15,M-0114,2928,2920,732,908,0,0
20241130,W-15,M-0099,2231,2303,293,410,0,0
20241130,W-15,M-0113,300,0,525,42,1,1
20241130,W-15,M-0005,1868,1959,268,711,0,0
20241130,W-15,M-0164,2514,2178,228,509,0,0
20241130,W-15,M-0150,2429,2096,718,884,0,0
20241130,W-15,M-0054,631,727,514,644,0,0
20241130,W-15,M-0077,1465,1588,608,82,0,0
20241130,W-15,M-0154,2395,2354,9,96,0,0
20241130,W-15,M-0045,277,0,112,429,1,1
20241130,W-15,M-0198,2978,2684,113,366,0,0
20241130,W-15,M-0163,1926,2250,893,652,0,0
20241130,W-15,M-0143,2786,3099,256,778,0,0
20241130,W-15,M-0125,606,739,645,280,0,0
20241130,W-15,M-0031,2499,2075,401,672,0,0
20241130,W-15,M-0029,1669,1596,624,304,0,0
20241130,W-15,M-0086,2509,2096,330,13,0,0
20241130,W-15,M-0166,1287,1442,828,428,0,0
20241130,W-15,M-0190,2092,2035,207,831,0,0
20241130,W-15,M-0094,2080,2326,744,146,0,0
20241130,W-15,M-0060,893,669,844,810,0,1
20241130,W-15,M-0076,357,268,969,271,0,1
20241130,W-15,M-0189,305,2,84,95,0,1
20241130,W-15,M-0120,1079,634,105,737,0,0
20241130,W-15,M-0081,1823,1692,865,976,0,0
20241130,W-15,M-0149,1865,2307,192,643,0,0
20241130,W-15,M-0152,1298,1455,650,180,0,0
20241130,W-15,M-0136,2601,2752,226,710,0,0
20241130,W-15,M-0066,1427,1692,704,531,0,0
20241130,W-15,M-0133,14,0,367,48,1,1
20241130,W-15,M-0123,1334,1117,658,64,0,0
20241130,W-15,M-0147,132,0,888,67,1,1
20241130,W-15,M-0033,476,222,274,114,0,0
20241130,W-15,M-0044,1402,1500,715,322,0,0
20241130,W-15,M-0007,2641,2695,746,566,0,0
20241130,W-15,M-0104,1784,1909,130,424,0,0
20241130,W-15,M-0183,131,0,858,688,1,1
20241130,W-15,M-0039,704,516,332,705,0,0
20241130,W-15,M-0013,1268,790,798,154,0,0
20241130,W-15,M-0035,1541,1962,612,350,0,0
20241130,W-15,M-0091,1219,924,222,948,0,0
20241130,W-15,M-0126,1114,1435,908,179,0,0
20241130,W-15,M-0185,838,574,765,712,0,0
20241130,W-15,M-0096,1691,2005,531,628,0,0
20241130,W-15,M-0182,409,752,253,242,0,0
20241130,W-16,M-0064,764,562,78,406,0,0
20241130,W-16,M-0195,2607,2771,771,902,0,0
20241130,W-16,M-0112,1498,1235,991,433,0,0
20241130,W-16,M-0163,944,988,105,281,0,0
20241130,W-16,M-0184,2475,2413,512,407,0,0
20241130,W-16,M-0069,2909,3362,286,238,0,0
20241130,W-16,M-0039,1990,1714,230,814,0,0
20241130,W-16,M-0077,1822,2045,966,705,0,0
20241130,W-16,M-0168,2841,2487,728,593,0,0
20241130,W-16,M-0180,2326,2698,345,544,0,0
20241130,W-16,M-0175,2419,2807,228,419,0,0
20241130,W-16,M-0061,1222,1044,503,153,0,0
20241130,W-16,M-0199,1031,935,860,489,0,0
20241130,W-16,M-0008,610,670,219,121,0,0
20241130,W-16,M-0024,1489,1343,536,290,0,0
20241130,W-16,M-0125,2882,3336,307,462,0,0
20241130,W-16,M-0159,855,908,630,826,0,0
20241130,W-16,M-0155,1907,1668,761,100,0,0
20241130,W-16,M-0079,414,815,766,178,0,0
20241130,W-16,M-0119,2580,2339,126,966,0,0
20241130,W-16,M-0099,482,96,191,721,0,1
20241130,W-16,M-0182,2724,3086,525,793,0,0
20241130,W-16,M-0144,837,696,495,685,0,1
20241130,W-16,M-0043,1847,1565,897,300,0,0
20241130,W-16,M-0200,1391,1053,816,650,0,0
20241130,W-16,M-0028,1383,1108,606,681,0,0
20241130,W-16,M-0153,1366,932,563,605,0,0
20241130,W-16,M-0193,1297,866,668,712,0,0
20241130,W-16,M-0078,1769,1801,978,269,0,0
20241130,W-16,M-0012,736,608,11,543,0,0
20241130,W-16,M-0011,2676,2851,331,141,0,0
20241130,W-16,M-0049,2600,2158,577,201,0,0
20241130,W-16,M-0066,1031,1130,110,16,0,0
20241130,W-16,M-0127,158,345,142,489,0,0
20241130,W-16,M-0084,2091,2519,198,254,0,0
20241130,W-16,M-0055,1610,1507,203,565,0,0
20241130,W-16,M-0173,2301,2127,463,40,0,0
20241130,W-16,M-0165,430,116,351,846,0,0
20241130,W-16,M-0140,241,0,632,49,1,1
20241130,W-16,M-0075,1175,942,165,935,0,0
20241130,W-16,M-0102,1659,1892,268,516,0,0
20241130,W-16,M-0137,1385,1781,68,487,0,0
20241130,W-16,M-0042,2775,2304,442,25,0,0
20241130,W-16,M-0109,2109,2162,560,63,0,0
20241130,W-16,M-0095,2321,2400,407,291,0,0
20241130,W-16,M-0020,1111,949,607,73,0,0
20241130,W-16,M-0018,686,1103,868,894,0,0
20241130,W-16,M-0146,1374,1547,544,731,0,0
20241130,W-16,M-0004,155,0,935,260,1,1
20241130,W-16,M-0092,1519,1779,734,831,0,0
20241130,W-16,M-0145,101,371,762,195,0,0
20241130,W-16,M-0118,2616,2732,604,913,0,0
20241130,W-16,M-0027,534,390,246,484,0,0
20241130,W-16,M-0110,196,0,51,786,1,1
20241130,W-16,M-0063,954,1127,46,922,0,0
20241130,W-16,M-0046,1665,2077,412,426,0,0
20241130,W-16,M-0178,280,535,66,674,0,0
20241130,W-16,M-0088,2277,1835,325,723,0,0
20241130,W-16,M-0071,2485,2125,361,476,0,0
20241130,W-16,M-0007,2126,1778,564,59,0,0
20241130,W-16,M-0097,1494,1911,302,578,0,0
20241130,W-16,M-0017,1495,1420,506,574,0,0
20241130,W-16,M-0113,2349,2215,630,88,0,0
20241130,W-16,M-0115,253,0,644,841,1,1
20241130,W-16,M-0030,1545,1461,771,566,0,0
20241130,W-16,M-0164,1011,1092,401,461,0,0
20241130,W-16,M-0197,1225,921,685,955,0,0
20241130,W-16,M-0187,174,277,542,403,0,1
20241130,W-16,M-0037,1014,1132,468,126,0,0
20241130,W-16,M-0101,1003,551,79,4,0,1
20241130,W-16,M-0026,2853,3087,391,931,0,0
20241130,W-16,M-0147,2087,1616,807,771,0,0
20241130,W-16,M-0038,2161,1661,2,530,0,0
20241130,W-16,M-0186,1173,919,936,569,0,0
20241130,W-16,M-0098,1195,1131,1000,41,0,0
20241130,W-16,M-0050,206,0,732,161,1,1
20241130,W-16,M-0032,530,359,859,467,0,0
20241130,W-16,M-0160,2558,2171,960,4,0,0
20241130,W-16,M-0142,1932,2400,159,256,0,0
20241130,W-16,M-0106,1898,2299,698,751,0,0
20241130,W-16,M-0126,1421,1178,474,368,0,0
20241130,W-16,M-0105,2695,3141,697,94,0,0
20241130,W-16,M-0054,2211,2553,675,714,0,0
20241130,W-16,M-0143,813,1137,552,83,0,0
20241130,W-16,M-0194,141,164,444,28,0,0
20241130,W-16,M-0052,2629,2724,891,923,0,0
20241130,W-16,M-0198,360,143,344,796,0,0
20241130,W-16,M-0191,1606,1952,906,984,0,0
20241130,W-16,M-0132,2312,2108,606,6,0,0
20241130,W-16,M-0114,2479,2978,249,709,0,0
20241130,W-16,M-0149,1506,1513,565,391,0,0
20241130,W-16,M-0002,2076,1901,854,902,0,0
20241130,W-16,M-0015,2711,3186,499,744,0,0
20241130,W-16,M-0070,931,829,64,816,0,1
20241130,W-16,M-0086,484,0,546,632,1,1
20241130,W-16,M-0108,474,456,967,310,0,1
20241130,W-16,M-0056,1344,1582,14,954,0,0
20241130,W-16,M-0134,1469,1490,646,572,0,0
20241130,W-16,M-0161,173,319,563,990,0,0
20241130,W-16,M-0158,1029,1103,681,319,0,0
20241130,W-16,M-0123,1386,1850,802,553,0,0
20241130,W-16,M-0130,977,1253,870,610,0,0
20241130,W-16,M-0141,2029,2338,302,240,0,0
20241130,W-16,M-0060,2258,2294,807,653,0,0
20241130,W-16,M-0009,1559,1160,202,360,0,0
20241130,W-16,M-0076,2683,2209,187,210,0,0
20241130,W-16,M-0117,7,467,872,811,0,0
20241130,W-16,M-0068,1930,2207,876,221,0,0
20241130,W-16,M-0128,1007,1393,1,710,0,0
20241130,W-16,M-0091,1690,1368,971,111,0,0
20241130,W-16,M-0062,2883,3057,363,677,0,0
20241130,W-16,M-0170,2826,3024,736,576,0,0
20241130,W-16,M-0151,469,755,712,233,0,0
20241130,W-16,M-0010,715,734,231,227,0,0
20241130,W-16,M-0081,2649,2429,880,820,0,0
20241130,W-16,M-0138,318,2,792,89,0,1
20241130,W-16,M-0100,2624,2442,774,910,0,0
20241130,W-16,M-0019,1025,742,538,813,0,0
20241130,W-16,M-0074,1071,1372,268,77,0,0
20241130,W-16,M-0139,2344,2231,590,253,0,0
20241130,W-16,M-0135,2704,3166,498,773,0,0
20241130,W-16,M-0176,603,320,939,634,0,0
20241130,W-16,M-0051,2462,2390,29,641,0,0
20241130,W-16,M-0013,1565,1249,595,665,0,0
20241130,W-16,M-0016,1744,1276,152,130,0,0
20241130,W-16,M-0067,2336,2629,374,59,0,0
20241130,W-16,M-0162,1671,1296,284,767,0,0
20241130,W-16,M-0003,183,118,322,325,0,0
20241130,W-16,M-0148,2814,2614,316,359,0,0
20241130,W-16,M-0136,2117,2081,325,62,0,0
20241130,W-16,M-0190,1752,1594,96,921,0,0
20241130,W-16,M-0152,2104,1919,450,746,0,0
20241130,W-16,M-0089,1121,1162,410,826,0,0
20241130,W-16,M-0179,1057,1066,260,609,0,0
20241130,W-16,M-0188,1578,1765,372,925,0,0
20241130,W-16,M-0065,291,0,670,558,1,1
20241130,W-16,M-0072,2401,2557,166,849,0,0
20241130,W-16,M-0107,1888,1712,894,331,0,0
20241130,W-16,M-0029,577,151,276,788,0,0
20241130,W-16,M-0058,1870,1739,137,742,0,0
20241130,W-16,M-0080,199,80,477,104,0,1
20241130,W-16,M-0033,1187,1600,91,449,0,0
20241130,W-16,M-0073,2858,2388,162,126,0,0
20241130,W-16,M-0059,2108,1795,654,132,0,0
20241130,W-16,M-0048,987,835,569,672,0,0
20241130,W-16,M-0189,435,126,252,850,0,1
20241130,W-16,M-0104,2236,2292,670,335,0,0
20241130,W-16,M-0025,53,69,912,639,0,0
20241130,W-16,M-0083,359,42,401,228,0,1
20241130,W-16,M-0087,1515,1284,690,438,0,0
20241130,W-17,M-0083,1262,907,314,234,0,0
20241130,W-17,M-0097,327,472,968,446,0,0
20241130,W-17,M-0168,2875,2886,509,103,0,0
20241130,W-17,M-0094,368,677,345,467,0,0
20241130,W-17,M-0191,1578,1417,425,701,0,0
20241130,W-17,M-0009,971,927,223,659,0,0
20241130,W-17,M-0150,2259,1968,619,17,0,0
20241130,W-17,M-0049,1765,1422,820,577,0,0
20241130,W-17,M-0166,208,0,200,457,1,1
20241130,W-17,M-0192,1203,1072,51,426,0,0
20241130,W-17,M-0158,10,179,601,618,0,0
20241130,W-17,M-0059,898,884,604,614,0,0
20241130,W-17,M-0036,1692,1598,142,111,0,0
20241130,W-17,M-0106,321,0,801,137,1,1
20241130,W-17,M-0021,2821,2959,767,655,0,0
20241130,W-17,M-0183,1404,1576,781,476,0,0
