Stock_Item_Key,WWI_Stock_Item_ID,Stock_Item,Color,Selling_Package,Buying_Package,Brand,Size,Lead_Time_Days,Quantity_Per_Outer,Is_Chiller_Stock,Barcode,Tax_Rate,Unit_Price,Recommended_Retail_Price,Typical_Weight_Per_Unit,Photo,Valid_From,Valid_To,Lineage_Key,Product_Category
79,141,もふもふ アニマル 靴下 (ピンク) XL,N/A,Pair,Packet,N/A,XL,12,12,False,N/A,12.0,5.0000,7.48,0.100,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 靴下・レッグウェア
80,140,もふもふ アニマル 靴下 (ピンク) L,N/A,Pair,Packet,N/A,L,12,12,False,N/A,12.0,5.0000,7.48,0.100,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 靴下・レッグウェア
81,139,もふもふ アニマル 靴下 (ピンク) M,N/A,Pair,Packet,N/A,M,12,12,False,N/A,12.0,5.0000,7.48,0.100,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 靴下・レッグウェア
82,138,もふもふ アニマル 靴下 (ピンク) S,N/A,Pair,Packet,N/A,S,12,12,False,N/A,12.0,5.0000,7.48,0.100,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 靴下・レッグウェア
441,138,もふもふ アニマル 靴下 (ピンク) S,N/A,Pair,Packet,N/A,S,12,12,False,N/A,12.0,5.0000,7.48,0.100,,2025-05-31 23:00:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 靴下・レッグウェア
442,139,もふもふ アニマル 靴下 (ピンク) M,N/A,Pair,Packet,N/A,M,12,12,False,N/A,12.0,5.0000,7.48,0.100,,2025-05-31 23:00:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 靴下・レッグウェア
443,140,もふもふ アニマル 靴下 (ピンク) L,N/A,Pair,Packet,N/A,L,12,12,False,N/A,12.0,5.0000,7.48,0.100,,2025-05-31 23:00:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 靴下・レッグウェア
444,141,もふもふ アニマル 靴下 (ピンク) XL,N/A,Pair,Packet,N/A,XL,12,12,False,N/A,12.0,5.0000,7.48,0.100,,2025-05-31 23:00:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 靴下・レッグウェア
0,0,Unknown,N/A,N/A,N/A,N/A,N/A,0,0,False,N/A,0.0,0.0000,0.00,0.000,,2022-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999990,0,商品カテゴリのデータを生成するには、品名の具体的な情報が必要です。品名「Unknown」ではカテゴリを特定できません。品名の詳細を教えてください。
205,15,USB食品型フラッシュドライブ - デザート 10 ドライブ バラエティパック,N/A,Packet,Packet,N/A,N/A,14,1,False,N/A,14.0,240.0000,358.80,0.500,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: USBフラッシュドライブ・ストレージデバイス
212,8,USB食品型フラッシュドライブ - 点心 10 ドライブ バラエティパック,N/A,Packet,Packet,N/A,N/A,14,1,False,N/A,14.0,240.0000,358.80,0.500,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,"商品カテゴリ: USB食品型フラッシュドライブ, 電子機器アクセサリー, USBメモリ"
237,15,USB食品型フラッシュドライブ - デザート 10 ドライブ バラエティパック,N/A,Packet,Packet,N/A,N/A,14,1,False,N/A,14.0,240.0000,358.80,0.500,,2025-05-31 23:00:00.0000000,2025-05-31 23:09:00.0000000,5,商品カテゴリ: USBフラッシュドライブ・ストレージデバイス
244,8,USB食品型フラッシュドライブ - 点心 10 ドライブ バラエティパック,N/A,Packet,Packet,N/A,N/A,14,1,False,N/A,14.0,240.0000,358.80,0.500,,2025-05-31 23:00:00.0000000,2025-05-31 23:09:00.0000000,5,商品カテゴリ: 電子機器・アクセサリー > USB関連商品 > USBフラッシュドライブ
537,15,USB食品型フラッシュドライブ - デザート 10 ドライブ バラエティパック,N/A,Packet,Packet,N/A,N/A,14,1,False,N/A,14.0,240.0000,358.80,0.500,,2025-05-31 23:09:00.0000000,2025-05-31 23:11:00.0000000,5,商品カテゴリ: USBフラッシュドライブ・データストレージ用品
544,8,USB食品型フラッシュドライブ - 点心 10 ドライブ バラエティパック,N/A,Packet,Packet,N/A,N/A,14,1,False,N/A,14.0,240.0000,358.80,0.500,,2025-05-31 23:09:00.0000000,2025-05-31 23:11:00.0000000,5,"商品カテゴリ: USB食品型フラッシュドライブ, 電子機器アクセサリー, USBメモリ"
595,8,USB食品型フラッシュドライブ - 点心 10 ドライブ バラエティパック,N/A,Packet,Packet,N/A,N/A,14,1,False,N/A,14.0,240.0000,358.80,0.500,,2025-05-31 23:11:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 電子機器・アクセサリー > USB関連商品 > USBフラッシュドライブ
602,15,USB食品型フラッシュドライブ - デザート 10 ドライブ バラエティパック,N/A,Packet,Packet,N/A,N/A,14,1,False,N/A,14.0,240.0000,358.80,0.500,,2025-05-31 23:11:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: USBフラッシュドライブ・ストレージデバイス
68,152,12アクションフィギュア (female),N/A,Packet,Packet,N/A,N/A,2,1,False,N/A,2.0,16.0000,23.92,0.250,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: ファッション > アクセサリー > 女性用アクセサリー
69,151,12アクションフィギュア (male),N/A,Packet,Packet,N/A,N/A,2,1,False,N/A,2.0,16.0000,23.92,0.250,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: アクセサリー (男性用)
70,150,12アクションフィギュア (variety),N/A,Packet,Packet,N/A,N/A,2,1,False,N/A,2.0,16.0000,23.92,0.250,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: ファッション・アクセサリー
388,152,12アクションフィギュア (female),N/A,Packet,Packet,N/A,N/A,2,1,False,N/A,2.0,16.0000,23.92,0.250,,2025-05-31 23:00:00.0000000,2025-05-31 23:05:00.0000000,5,商品カテゴリ: ファッション > アクセサリー > 女性用アクセサリー
389,151,12アクションフィギュア (male),N/A,Packet,Packet,N/A,N/A,2,1,False,N/A,2.0,16.0000,23.92,0.250,,2025-05-31 23:00:00.0000000,2025-05-31 23:05:00.0000000,5,商品カテゴリ: ファッションアクセサリー (メンズ)
390,150,12アクションフィギュア (variety),N/A,Packet,Packet,N/A,N/A,2,1,False,N/A,2.0,16.0000,23.92,0.250,,2025-05-31 23:00:00.0000000,2025-05-31 23:05:00.0000000,5,商品カテゴリ: ファッションアクセサリー
485,150,12アクションフィギュア (variety),N/A,Packet,Packet,N/A,N/A,2,1,False,N/A,2.0,16.0000,23.92,0.250,,2025-05-31 23:05:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: ファッションアクセサリー
486,151,12アクションフィギュア (male),N/A,Packet,Packet,N/A,N/A,2,1,False,N/A,2.0,16.0000,23.92,0.250,,2025-05-31 23:05:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: ファッションアクセサリー (メンズ)
487,152,12アクションフィギュア (female),N/A,Packet,Packet,N/A,N/A,2,1,False,N/A,2.0,16.0000,23.92,0.250,,2025-05-31 23:05:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: ファッション > アクセサリー > 女性用アクセサリー
28,192,黒オレンジ 取扱注意 配送用 テープ 48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,36,False,N/A,14.0,4.1000,6.13,0.700,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 医療用品 > 注射・採血用品 > 採血テープ
29,191,黒オレンジ 取扱注意 配送用 テープ 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,36,False,N/A,14.0,3.7000,5.53,0.500,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 医療用品 > 注射器・注射関連用品 > テープ・固定用品
30,190,透明 梱包用 テープ 48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,20,False,N/A,14.0,3.5000,5.23,0.700,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 梱包資材・テープ
31,189,透明 梱包用 テープ 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,26,False,N/A,14.0,2.9000,4.34,0.500,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 梱包資材・テープ
320,192,黒オレンジ 取扱注意 配送用 テープ 48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,36,False,N/A,14.0,4.1000,6.13,0.700,,2025-05-31 23:00:00.0000000,2025-05-31 23:12:00.0000000,5,商品カテゴリ: 医療用品 > 注射器・注射関連用品 > テープ・固定用品
321,191,黒オレンジ 取扱注意 配送用 テープ 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,36,False,N/A,14.0,3.7000,5.53,0.500,,2025-05-31 23:00:00.0000000,2025-05-31 23:12:00.0000000,5,商品カテゴリ: 医療用品 > 注射器・注射関連用品 > テープ・固定用品
322,190,透明 梱包用 テープ 48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,20,False,N/A,14.0,3.5000,5.23,0.700,,2025-05-31 23:00:00.0000000,2025-05-31 23:12:00.0000000,5,商品カテゴリ: 梱包資材・テープ
323,189,透明 梱包用 テープ 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,26,False,N/A,14.0,2.9000,4.34,0.500,,2025-05-31 23:00:00.0000000,2025-05-31 23:12:00.0000000,5,商品カテゴリ: 梱包資材・テープ
641,189,透明 梱包用 テープ 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,26,False,N/A,14.0,2.9000,4.34,0.500,,2025-05-31 23:12:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 梱包資材・テープ
642,190,透明 梱包用 テープ 48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,20,False,N/A,14.0,3.5000,5.23,0.700,,2025-05-31 23:12:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 梱包資材・テープ
643,191,黒オレンジ 取扱注意 配送用 テープ 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,36,False,N/A,14.0,3.7000,5.53,0.500,,2025-05-31 23:12:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 医療用品 > 注射器・注射関連用品 > テープ・固定用品
644,192,黒オレンジ 取扱注意 配送用 テープ 48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,36,False,N/A,14.0,4.1000,6.13,0.700,,2025-05-31 23:12:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 医療用品・注射器関連用品
10,210,梱包用カッター 金属製刃付き (黄) 18mm,N/A,Each,Each,N/A,18mm,14,5,False,N/A,14.0,2.4000,3.59,0.500,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 梱包資材・カッター・工具
11,209,梱包用カッター 金属製刃付き (黄) 9mm,N/A,Each,Each,N/A,9mm,14,5,False,N/A,14.0,1.8900,2.83,0.500,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 梱包資材・カッター用品
302,210,梱包用カッター 金属製刃付き (黄) 18mm,N/A,Each,Each,N/A,18mm,14,5,False,N/A,14.0,2.4000,3.59,0.500,,2025-05-31 23:00:00.0000000,2025-05-31 23:12:00.0000000,5,商品カテゴリ: 梱包資材・カッター・工具
303,209,梱包用カッター 金属製刃付き (黄) 9mm,N/A,Each,Each,N/A,9mm,14,5,False,N/A,14.0,1.8900,2.83,0.500,,2025-05-31 23:00:00.0000000,2025-05-31 23:12:00.0000000,5,商品カテゴリ: 梱包資材・カッター用品
661,209,梱包用カッター 金属製刃付き (黄) 9mm,N/A,Each,Each,N/A,9mm,14,5,False,N/A,14.0,1.8900,2.83,0.500,,2025-05-31 23:12:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 梱包資材・カッター・工具
662,210,梱包用カッター 金属製刃付き (黄) 18mm,N/A,Each,Each,N/A,18mm,14,5,False,N/A,14.0,2.4000,3.59,0.500,,2025-05-31 23:12:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 文房具・事務用品 > カッター・カッターナイフ > 金属製カッター
18,202,赤白 至急  重量物 配送用 テープ  48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,False,N/A,14.0,4.1000,6.13,0.700,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 梱包資材・テープ
19,201,赤白 至急 配送用 テープ 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,False,N/A,14.0,3.7000,5.53,0.500,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 梱包資材・テープ
20,200,黒黄色 重量物 配送用 テープ 48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,False,N/A,14.0,4.1000,6.13,0.700,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 梱包資材・テープ
21,199,黒黄色 重量物 配送用 テープ  48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,False,N/A,14.0,3.7000,5.53,0.500,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 梱包資材・テープ
22,198,黒オレンジ 天地無用 配送用 テープ  48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,False,N/A,14.0,4.1000,6.13,0.700,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 梱包資材・テープ
23,197,黒オレンジ 天地無用 配送用 テープ 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,False,N/A,14.0,3.7000,5.53,0.500,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 梱包資材・テープ
24,196,黒オレンジ 取扱注意 配送用 テープ  48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,False,N/A,14.0,4.1000,6.13,0.700,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 梱包資材・テープ
25,195,黒オレンジ 取扱注意 配送用 テープ  48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,False,N/A,14.0,3.7000,5.53,0.500,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 梱包資材・テープ
26,194,黒オレンジ ガラス注意 配送用 テープ  48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,False,N/A,14.0,4.1000,6.13,0.700,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 梱包資材・テープ
27,193,黒オレンジ ガラス注意 配送用 テープ 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,False,N/A,14.0,3.7000,5.53,0.500,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 梱包資材・テープ
310,202,赤白 至急  重量物 配送用 テープ  48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,False,N/A,14.0,4.1000,6.13,0.700,,2025-05-31 23:00:00.0000000,2025-05-31 23:12:00.0000000,5,商品カテゴリ: 梱包資材・テープ
311,201,赤白 至急 配送用 テープ 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,False,N/A,14.0,3.7000,5.53,0.500,,2025-05-31 23:00:00.0000000,2025-05-31 23:12:00.0000000,5,商品カテゴリ: 梱包資材・テープ
312,200,黒黄色 重量物 配送用 テープ 48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,False,N/A,14.0,4.1000,6.13,0.700,,2025-05-31 23:00:00.0000000,2025-05-31 23:12:00.0000000,5,商品カテゴリ: 梱包資材・テープ
313,199,黒黄色 重量物 配送用 テープ  48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,False,N/A,14.0,3.7000,5.53,0.500,,2025-05-31 23:00:00.0000000,2025-05-31 23:12:00.0000000,5,商品カテゴリ: 梱包資材・テープ
314,198,黒オレンジ 天地無用 配送用 テープ  48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,False,N/A,14.0,4.1000,6.13,0.700,,2025-05-31 23:00:00.0000000,2025-05-31 23:12:00.0000000,5,商品カテゴリ: 梱包資材・テープ
315,197,黒オレンジ 天地無用 配送用 テープ 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,False,N/A,14.0,3.7000,5.53,0.500,,2025-05-31 23:00:00.0000000,2025-05-31 23:12:00.0000000,5,商品カテゴリ: 梱包資材・テープ
316,196,黒オレンジ 取扱注意 配送用 テープ  48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,False,N/A,14.0,4.1000,6.13,0.700,,2025-05-31 23:00:00.0000000,2025-05-31 23:12:00.0000000,5,商品カテゴリ: 梱包資材・テープ
317,195,黒オレンジ 取扱注意 配送用 テープ  48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,False,N/A,14.0,3.7000,5.53,0.500,,2025-05-31 23:00:00.0000000,2025-05-31 23:12:00.0000000,5,商品カテゴリ: 梱包資材・テープ
318,194,黒オレンジ ガラス注意 配送用 テープ  48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,False,N/A,14.0,4.1000,6.13,0.700,,2025-05-31 23:00:00.0000000,2025-05-31 23:12:00.0000000,5,商品カテゴリ: 梱包資材・テープ
319,193,黒オレンジ ガラス注意 配送用 テープ 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,False,N/A,14.0,3.7000,5.53,0.500,,2025-05-31 23:00:00.0000000,2025-05-31 23:12:00.0000000,5,商品カテゴリ: 梱包資材・テープ
645,193,黒オレンジ ガラス注意 配送用 テープ 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,False,N/A,14.0,3.7000,5.53,0.500,,2025-05-31 23:12:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 梱包資材・テープ
646,194,黒オレンジ ガラス注意 配送用 テープ  48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,False,N/A,14.0,4.1000,6.13,0.700,,2025-05-31 23:12:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 梱包資材・テープ
647,195,黒オレンジ 取扱注意 配送用 テープ  48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,False,N/A,14.0,3.7000,5.53,0.500,,2025-05-31 23:12:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 梱包資材・テープ
648,196,黒オレンジ 取扱注意 配送用 テープ  48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,False,N/A,14.0,4.1000,6.13,0.700,,2025-05-31 23:12:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 梱包資材・テープ
649,197,黒オレンジ 天地無用 配送用 テープ 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,False,N/A,14.0,3.7000,5.53,0.500,,2025-05-31 23:12:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 梱包資材・テープ
650,198,黒オレンジ 天地無用 配送用 テープ  48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,False,N/A,14.0,4.1000,6.13,0.700,,2025-05-31 23:12:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 梱包資材・テープ
651,199,黒黄色 重量物 配送用 テープ  48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,False,N/A,14.0,3.7000,5.53,0.500,,2025-05-31 23:12:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 梱包資材・テープ
652,200,黒黄色 重量物 配送用 テープ 48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,False,N/A,14.0,4.1000,6.13,0.700,,2025-05-31 23:12:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 梱包資材・テープ
653,201,赤白 至急 配送用 テープ 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,False,N/A,14.0,3.7000,5.53,0.500,,2025-05-31 23:12:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 梱包資材・テープ
654,202,赤白 至急  重量物 配送用 テープ  48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,False,N/A,14.0,4.1000,6.13,0.700,,2025-05-31 23:12:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 梱包資材・テープ
32,188,3 kg 宅配便 バッグ (白) 300x190x95mm,N/A,Each,Each,N/A,300x190x95mm,14,25,False,N/A,14.0,0.6600,0.99,0.100,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 宅配バッグ・梱包資材
324,188,3 kg 宅配便 バッグ (白) 300x190x95mm,N/A,Each,Each,N/A,300x190x95mm,14,25,False,N/A,14.0,0.6600,0.99,0.100,,2025-05-31 23:00:00.0000000,2025-05-31 23:12:00.0000000,5,商品カテゴリ: 宅配バッグ・梱包資材
640,188,3 kg 宅配便 バッグ (白) 300x190x95mm,N/A,Each,Each,N/A,300x190x95mm,14,25,False,N/A,14.0,0.6600,0.99,0.100,,2025-05-31 23:12:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 宅配バッグ・梱包資材
33,187,速達 郵便 ボックス 5kg (白) 350x280x130mm,N/A,Each,Each,N/A,350x280x130mm,14,25,False,N/A,14.0,0.9500,1.42,0.200,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 宅配便ボックス・郵便受け用品
325,187,速達 郵便 ボックス 5kg (白) 350x280x130mm,N/A,Each,Each,N/A,350x280x130mm,14,25,False,N/A,14.0,0.9500,1.42,0.200,,2025-05-31 23:00:00.0000000,2025-05-31 23:12:00.0000000,5,商品カテゴリ: 宅配便ボックス・郵便受け用品
639,187,速達 郵便 ボックス 5kg (白) 350x280x130mm,N/A,Each,Each,N/A,350x280x130mm,14,25,False,N/A,14.0,0.9500,1.42,0.200,,2025-05-31 23:12:00.0000000,9999-12-31 23:59:59.9999990,5,商品カテゴリ: 宅配便ボックス・郵便受け用品
34,186,配送用段ボール (茶) 457x457x457mm,N/A,Each,Each,N/A,457x457x457mm,14,25,False,N/A,14.0,2.1000,3.14,0.400,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 配送用品・梱包資材
35,185,配送用段ボール (茶) 356x356x279mm,N/A,Each,Each,N/A,356x356x279mm,14,25,False,N/A,14.0,2.0400,3.05,0.300,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 配送用ボール箱・梱包資材
36,184,配送用段ボール (茶) 305x305x305mm,N/A,Each,Each,N/A,305x305x305mm,14,25,False,N/A,14.0,3.5000,5.23,0.300,,2022-01-01 00:00:00.0000000,2025-05-31 23:00:00.0000000,5,商品カテゴリ: 配送用品・ボール箱
